2023-10-08 15:25:06,441 | train | INFO | Set Logger /content/results/train/20231009_002506
2023-10-08 15:25:06,559 | train | INFO | Load data, train:100000
2023-10-08 15:25:08,987 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-08 15:25:08,989 | train | INFO | --Train 0/20
2023-10-08 15:25:13,974 | train | INFO | batch: 0/391 loss: 8.020153045654297
2023-10-08 15:27:11,570 | train | INFO | batch: 100/391 loss: 1.2167001962661743
2023-10-08 15:29:10,107 | train | INFO | batch: 200/391 loss: 0.9972779750823975
2023-10-08 15:31:08,421 | train | INFO | batch: 300/391 loss: 0.7110767364501953
2023-10-08 15:32:55,147 | train | INFO | Write row 0
2023-10-08 15:32:56,602 | train | INFO | --Train 1/20
2023-10-08 15:32:58,996 | train | INFO | batch: 0/391 loss: 0.5506042838096619
2023-10-08 15:34:57,899 | train | INFO | batch: 100/391 loss: 0.466907799243927
2023-10-08 15:36:56,906 | train | INFO | batch: 200/391 loss: 0.4060928523540497
2023-10-08 15:38:55,525 | train | INFO | batch: 300/391 loss: 0.40204930305480957
2023-10-08 15:40:41,970 | train | INFO | Write row 1
2023-10-08 15:40:42,836 | train | INFO | --Train 2/20
2023-10-08 15:40:45,301 | train | INFO | batch: 0/391 loss: 0.23422743380069733
2023-10-08 15:42:44,144 | train | INFO | batch: 100/391 loss: 0.23764699697494507
2023-10-08 15:44:42,378 | train | INFO | batch: 200/391 loss: 0.19074970483779907
2023-10-08 15:46:40,781 | train | INFO | batch: 300/391 loss: 0.1617610603570938
2023-10-08 15:48:26,892 | train | INFO | Write row 2
2023-10-08 15:48:27,613 | train | INFO | --Train 3/20
2023-10-08 15:48:29,674 | train | INFO | batch: 0/391 loss: 0.15668560564517975
2023-10-08 15:50:28,487 | train | INFO | batch: 100/391 loss: 0.15226708352565765
2023-10-08 15:52:26,811 | train | INFO | batch: 200/391 loss: 0.10757455974817276
2023-10-08 15:54:25,552 | train | INFO | batch: 300/391 loss: 0.08561860769987106
2023-10-08 15:56:11,862 | train | INFO | Write row 3
2023-10-08 15:56:12,589 | train | INFO | --Train 4/20
2023-10-08 15:56:14,615 | train | INFO | batch: 0/391 loss: 0.16072067618370056
2023-10-08 15:58:12,924 | train | INFO | batch: 100/391 loss: 0.11441787332296371
2023-10-08 16:00:11,124 | train | INFO | batch: 200/391 loss: 0.12743525207042694
2023-10-08 16:02:09,425 | train | INFO | batch: 300/391 loss: 0.12826977670192719
2023-10-08 16:03:55,574 | train | INFO | Write row 4
2023-10-08 16:03:56,373 | train | INFO | --Train 5/20
2023-10-08 16:03:58,416 | train | INFO | batch: 0/391 loss: 0.07314812391996384
2023-10-08 16:05:56,747 | train | INFO | batch: 100/391 loss: 0.1003175899386406
2023-10-08 16:07:54,982 | train | INFO | batch: 200/391 loss: 0.11427175998687744
2023-10-08 16:09:53,268 | train | INFO | batch: 300/391 loss: 0.14119687676429749
2023-10-08 16:11:39,768 | train | INFO | Write row 5
2023-10-08 16:11:40,977 | train | INFO | --Train 6/20
2023-10-08 16:11:43,207 | train | INFO | batch: 0/391 loss: 0.055072009563446045
2023-10-08 16:13:41,063 | train | INFO | batch: 100/391 loss: 0.04421881213784218
2023-10-08 16:15:39,554 | train | INFO | batch: 200/391 loss: 0.03527519851922989
2023-10-08 16:17:37,902 | train | INFO | batch: 300/391 loss: 0.04750042036175728
2023-10-08 16:19:24,217 | train | INFO | Write row 6
2023-10-08 16:19:25,266 | train | INFO | --Train 7/20
2023-10-08 16:19:27,724 | train | INFO | batch: 0/391 loss: 0.06124068796634674
2023-10-08 16:21:26,775 | train | INFO | batch: 100/391 loss: 0.07763782143592834
