epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230919_223242,1.025025709360838,241.0242419242859,0.563725,0.10818236791369557,0.749896668434143,4.507958173751831,0.6965,0.7170682302184245
1,20230919_223242,0.35953992739617824,239.84258246421814,0.868525,0.624736035879172,0.6754861822128296,4.204006910324097,0.7945,0.6716654221222963
2,20230919_223242,0.18426944492082112,240.19388628005981,0.9348,0.7812576832040428,0.46058195865154267,4.2735936641693115,0.8565,0.8647931756634634
3,20230919_223242,0.12583853959925473,239.6274700164795,0.956025,0.7981816576543977,0.5278791418001055,5.563563823699951,0.8565,0.8661100554432167
4,20230919_223242,0.10057739519688766,240.06275963783264,0.965725,0.9671864518390508,0.5279776880592107,5.656436204910278,0.8695,0.8782004833539613
5,20230919_223242,0.0836106159450952,239.18978691101074,0.972425,0.97330028493681,0.5262795955184847,5.078757047653198,0.87,0.8791808553343545
6,20230919_223242,0.07353006975866155,239.40785574913025,0.97485,0.8131981930814879,0.5812717595919966,4.491306781768799,0.8625,0.8704769710217489
7,20230919_223242,0.06359501091731945,240.36117553710938,0.9785,0.9793754902323414,0.6148879868546501,4.2003014087677,0.878,0.8855091805587698
8,20230919_223242,0.058966592614896944,239.98955512046814,0.9792,0.9799225347778504,0.5690238285809756,4.1871302127838135,0.8695,0.8762136826592706
9,20230919_223242,0.05259583699669456,240.55432438850403,0.982125,0.9827850819491605,0.539565383028239,4.817504167556763,0.8795,0.8874007147909151
