2023-10-02 11:46:25,660 | train | INFO | Set Logger /content/results/train/20231002_204625
2023-10-02 11:46:25,738 | train | INFO | Load data, train:100000
2023-10-02 11:46:27,596 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-02 11:46:27,598 | train | INFO | --Train 0/20
2023-10-02 11:46:34,033 | train | INFO | batch: 0/391 loss: 8.02015495300293
2023-10-02 11:48:35,922 | train | INFO | batch: 100/391 loss: 1.2260347604751587
2023-10-02 11:50:38,877 | train | INFO | batch: 200/391 loss: 1.0944749116897583
2023-10-02 11:52:41,750 | train | INFO | batch: 300/391 loss: 0.8157349824905396
2023-10-02 11:54:32,986 | train | INFO | Write row 0
2023-10-02 11:54:33,969 | train | INFO | --Train 1/20
2023-10-02 11:54:36,075 | train | INFO | batch: 0/391 loss: 0.6968479156494141
2023-10-02 11:56:37,845 | train | INFO | batch: 100/391 loss: 0.4524286687374115
2023-10-02 11:58:40,765 | train | INFO | batch: 200/391 loss: 0.40531444549560547
2023-10-02 12:00:43,640 | train | INFO | batch: 300/391 loss: 0.38125917315483093
2023-10-02 12:02:33,416 | train | INFO | Write row 1
2023-10-02 12:02:34,182 | train | INFO | --Train 2/20
2023-10-02 12:02:36,233 | train | INFO | batch: 0/391 loss: 0.30193033814430237
2023-10-02 12:04:39,597 | train | INFO | batch: 100/391 loss: 0.27546221017837524
2023-10-02 12:06:42,300 | train | INFO | batch: 200/391 loss: 0.21553398668766022
2023-10-02 12:08:46,112 | train | INFO | batch: 300/391 loss: 0.17793460190296173
2023-10-02 12:10:35,912 | train | INFO | Write row 2
2023-10-02 12:10:37,130 | train | INFO | --Train 3/20
2023-10-02 12:10:39,684 | train | INFO | batch: 0/391 loss: 0.13307330012321472
2023-10-02 12:12:41,975 | train | INFO | batch: 100/391 loss: 0.13521867990493774
2023-10-02 12:14:43,401 | train | INFO | batch: 200/391 loss: 0.1271762102842331
2023-10-02 12:16:45,384 | train | INFO | batch: 300/391 loss: 0.11235161125659943
2023-10-02 12:18:34,708 | train | INFO | Write row 3
2023-10-02 12:18:35,468 | train | INFO | --Train 4/20
2023-10-02 12:18:37,531 | train | INFO | batch: 0/391 loss: 0.11999603360891342
2023-10-02 12:20:40,624 | train | INFO | batch: 100/391 loss: 0.12798434495925903
2023-10-02 12:22:43,780 | train | INFO | batch: 200/391 loss: 0.10822992771863937
2023-10-02 12:24:45,794 | train | INFO | batch: 300/391 loss: 0.1378781795501709
2023-10-02 12:26:36,369 | train | INFO | Write row 4
2023-10-02 12:26:37,176 | train | INFO | --Train 5/20
2023-10-02 12:26:39,249 | train | INFO | batch: 0/391 loss: 0.07615624368190765
2023-10-02 12:28:41,154 | train | INFO | batch: 100/391 loss: 0.13187408447265625
2023-10-02 12:30:43,786 | train | INFO | batch: 200/391 loss: 0.0689554363489151
2023-10-02 12:32:45,304 | train | INFO | batch: 300/391 loss: 0.08195947855710983
2023-10-02 12:34:35,811 | train | INFO | Write row 5
2023-10-02 12:34:37,102 | train | INFO | --Train 6/20
2023-10-02 12:34:39,504 | train | INFO | batch: 0/391 loss: 0.10614906996488571
2023-10-02 12:36:41,911 | train | INFO | batch: 100/391 loss: 0.08670099824666977
2023-10-02 12:38:44,710 | train | INFO | batch: 200/391 loss: 0.08460016548633575
2023-10-02 12:40:46,476 | train | INFO | batch: 300/391 loss: 0.06546080857515335
2023-10-02 12:42:37,197 | train | INFO | Write row 6
2023-10-02 12:42:37,982 | train | INFO | --Train 7/20
2023-10-02 12:42:40,081 | train | INFO | batch: 0/391 loss: 0.028776952996850014
2023-10-02 12:44:41,797 | train | INFO | batch: 100/391 loss: 0.0767354667186737
2023-10-02 12:46:44,728 | train | INFO | batch: 200/391 loss: 0.09189688414335251
2023-10-02 12:48:46,358 | train | INFO | batch: 300/391 loss: 0.051811736077070236
2023-10-02 12:50:36,584 | train | INFO | Write row 7
2023-10-02 12:50:37,556 | train | INFO | --Train 8/20
2023-10-02 12:50:40,076 | train | INFO | batch: 0/391 loss: 0.11980786174535751
2023-10-02 12:52:42,909 | train | INFO | batch: 100/391 loss: 0.057894449681043625
2023-10-02 12:54:46,154 | train | INFO | batch: 200/391 loss: 0.04454706981778145
2023-10-02 12:56:48,235 | train | INFO | batch: 300/391 loss: 0.03848174214363098
2023-10-02 12:58:38,523 | train | INFO | Write row 8
2023-10-02 12:58:39,358 | train | INFO | --Train 9/20
2023-10-02 12:58:41,479 | train | INFO | batch: 0/391 loss: 0.06593675166368484
2023-10-02 13:00:43,514 | train | INFO | batch: 100/391 loss: 0.06301386654376984
2023-10-02 13:02:46,543 | train | INFO | batch: 200/391 loss: 0.09551961719989777
2023-10-02 13:04:48,789 | train | INFO | batch: 300/391 loss: 0.08077093958854675
2023-10-02 13:06:39,049 | train | INFO | Write row 9
2023-10-02 13:06:39,896 | train | INFO | --Train 10/20
2023-10-02 13:06:42,047 | train | INFO | batch: 0/391 loss: 0.020666472613811493
2023-10-02 13:08:44,624 | train | INFO | batch: 100/391 loss: 0.03338572382926941
2023-10-02 13:10:47,608 | train | INFO | batch: 200/391 loss: 0.08432196825742722
2023-10-02 13:12:49,760 | train | INFO | batch: 300/391 loss: 0.029994525015354156
2023-10-02 13:14:40,492 | train | INFO | Write row 10
2023-10-02 13:14:41,496 | train | INFO | --Train 11/20
2023-10-02 13:14:43,562 | train | INFO | batch: 0/391 loss: 0.06599808484315872
2023-10-02 13:16:46,280 | train | INFO | batch: 100/391 loss: 0.027035478502511978
2023-10-02 13:18:50,112 | train | INFO | batch: 200/391 loss: 0.04263366758823395
2023-10-02 13:20:53,433 | train | INFO | batch: 300/391 loss: 0.01418355107307434
2023-10-02 13:22:44,683 | train | INFO | Write row 11
2023-10-02 13:22:46,117 | train | INFO | --Train 12/20
2023-10-02 13:22:48,254 | train | INFO | batch: 0/391 loss: 0.038272835314273834
2023-10-02 13:24:50,307 | train | INFO | batch: 100/391 loss: 0.014507823623716831
2023-10-02 13:26:54,046 | train | INFO | batch: 200/391 loss: 0.017547352239489555
2023-10-02 13:28:56,350 | train | INFO | batch: 300/391 loss: 0.03720702603459358
2023-10-02 13:30:47,369 | train | INFO | Write row 12
2023-10-02 13:30:48,243 | train | INFO | --Train 13/20
2023-10-02 13:30:50,350 | train | INFO | batch: 0/391 loss: 0.021624984219670296
2023-10-02 13:32:53,043 | train | INFO | batch: 100/391 loss: 0.022533096373081207
