2023-09-18 12:03:34,827 | train | INFO | Set Logger /content/results/train/20230918_210334
2023-09-18 12:03:34,859 | train | INFO | Load data, train:40000 val:2000
2023-09-18 12:03:38,197 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-18 12:03:38,199 | train | INFO | --Train 0/20
2023-09-18 12:03:47,127 | train | INFO | batch: 0/2500 loss: 7.937404155731201
2023-09-18 12:04:12,052 | train | INFO | batch: 100/2500 loss: 1.6641303300857544
2023-09-18 12:04:36,878 | train | INFO | batch: 200/2500 loss: 1.4326298236846924
2023-09-18 12:05:01,718 | train | INFO | batch: 300/2500 loss: 1.1032838821411133
2023-09-18 12:05:26,566 | train | INFO | batch: 400/2500 loss: 1.0754655599594116
2023-09-18 12:05:51,425 | train | INFO | batch: 500/2500 loss: 1.1036754846572876
2023-09-18 12:06:16,288 | train | INFO | batch: 600/2500 loss: 0.891265869140625
2023-09-18 12:06:41,155 | train | INFO | batch: 700/2500 loss: 0.8799748420715332
2023-09-18 12:07:06,028 | train | INFO | batch: 800/2500 loss: 0.9101886749267578
2023-09-18 12:07:30,887 | train | INFO | batch: 900/2500 loss: 0.7542955875396729
2023-09-18 12:07:55,750 | train | INFO | batch: 1000/2500 loss: 0.8728965520858765
2023-09-18 12:08:20,616 | train | INFO | batch: 1100/2500 loss: 0.6298350691795349
2023-09-18 12:08:45,516 | train | INFO | batch: 1200/2500 loss: 0.625950276851654
2023-09-18 12:09:10,373 | train | INFO | batch: 1300/2500 loss: 0.4757428765296936
2023-09-18 12:09:35,233 | train | INFO | batch: 1400/2500 loss: 0.8755921721458435
2023-09-18 12:10:00,092 | train | INFO | batch: 1500/2500 loss: 0.4207993447780609
2023-09-18 12:10:24,955 | train | INFO | batch: 1600/2500 loss: 1.2156909704208374
2023-09-18 12:10:49,822 | train | INFO | batch: 1700/2500 loss: 0.3772023618221283
2023-09-18 12:11:14,684 | train | INFO | batch: 1800/2500 loss: 0.4901999831199646
2023-09-18 12:11:39,546 | train | INFO | batch: 1900/2500 loss: 0.6230043768882751
2023-09-18 12:12:04,409 | train | INFO | batch: 2000/2500 loss: 0.4303854703903198
2023-09-18 12:12:29,267 | train | INFO | batch: 2100/2500 loss: 0.212506502866745
2023-09-18 12:12:54,129 | train | INFO | batch: 2200/2500 loss: 0.3266298174858093
2023-09-18 12:13:19,049 | train | INFO | batch: 2300/2500 loss: 0.073237344622612
2023-09-18 12:13:43,928 | train | INFO | batch: 2400/2500 loss: 0.36234164237976074
2023-09-18 12:14:08,685 | train | INFO | --Val 0/20
2023-09-18 12:14:08,830 | train | INFO | batch: 0/125 loss: 0.43332117795944214
2023-09-18 12:14:15,166 | train | INFO | batch: 100/125 loss: 1.1380295753479004
2023-09-18 12:14:16,731 | train | INFO | Write row 0
2023-09-18 12:14:17,491 | train | INFO | Early stopper, counter 0/5, best:0.8115 -> now:0.8115
2023-09-18 12:14:17,491 | train | INFO | Set counter as 0
2023-09-18 12:14:17,491 | train | INFO | Update best score as 0.8115
2023-09-18 12:14:18,956 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230918_210334/model.pt
2023-09-18 12:14:18,956 | train | INFO | --Train 1/20
2023-09-18 12:14:19,313 | train | INFO | batch: 0/2500 loss: 0.4096609950065613
2023-09-18 12:14:44,166 | train | INFO | batch: 100/2500 loss: 0.39882156252861023
2023-09-18 12:15:09,034 | train | INFO | batch: 200/2500 loss: 0.32380014657974243
2023-09-18 12:15:33,997 | train | INFO | batch: 300/2500 loss: 0.0954553633928299
2023-09-18 12:15:58,857 | train | INFO | batch: 400/2500 loss: 0.12787258625030518
2023-09-18 12:16:23,732 | train | INFO | batch: 500/2500 loss: 0.10959269851446152
2023-09-18 12:16:48,595 | train | INFO | batch: 600/2500 loss: 0.7223191261291504
2023-09-18 12:17:13,456 | train | INFO | batch: 700/2500 loss: 0.1780271828174591
2023-09-18 12:17:38,331 | train | INFO | batch: 800/2500 loss: 0.08155190944671631
2023-09-18 12:18:03,207 | train | INFO | batch: 900/2500 loss: 0.015796229243278503
2023-09-18 12:18:28,066 | train | INFO | batch: 1000/2500 loss: 0.05866406112909317
2023-09-18 12:18:52,917 | train | INFO | batch: 1100/2500 loss: 0.26571106910705566
2023-09-18 12:19:17,778 | train | INFO | batch: 1200/2500 loss: 0.2346740961074829
2023-09-18 12:19:42,634 | train | INFO | batch: 1300/2500 loss: 0.07510252296924591
2023-09-18 12:20:07,488 | train | INFO | batch: 1400/2500 loss: 0.13165150582790375
2023-09-18 12:20:32,399 | train | INFO | batch: 1500/2500 loss: 0.047800082713365555
2023-09-18 12:20:57,255 | train | INFO | batch: 1600/2500 loss: 0.1992003172636032
2023-09-18 12:21:22,111 | train | INFO | batch: 1700/2500 loss: 0.08837663382291794
2023-09-18 12:21:46,971 | train | INFO | batch: 1800/2500 loss: 0.012641600333154202
2023-09-18 12:22:11,829 | train | INFO | batch: 1900/2500 loss: 0.1992691606283188
2023-09-18 12:22:36,683 | train | INFO | batch: 2000/2500 loss: 0.17707109451293945
2023-09-18 12:23:01,540 | train | INFO | batch: 2100/2500 loss: 0.10976698249578476
2023-09-18 12:23:26,400 | train | INFO | batch: 2200/2500 loss: 0.06190972402691841
2023-09-18 12:23:51,257 | train | INFO | batch: 2300/2500 loss: 0.12433786690235138
2023-09-18 12:24:16,116 | train | INFO | batch: 2400/2500 loss: 0.4857407808303833
2023-09-18 12:24:40,845 | train | INFO | --Val 1/20
2023-09-18 12:24:40,997 | train | INFO | batch: 0/125 loss: 0.2400340586900711
2023-09-18 12:24:47,339 | train | INFO | batch: 100/125 loss: 0.43889695405960083
2023-09-18 12:24:48,906 | train | INFO | Write row 1
2023-09-18 12:24:49,507 | train | INFO | Early stopper, counter 0/5, best:0.8635 -> now:0.8635
2023-09-18 12:24:49,507 | train | INFO | Set counter as 0
2023-09-18 12:24:49,507 | train | INFO | Update best score as 0.8635
2023-09-18 12:24:52,172 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230918_210334/model.pt
2023-09-18 12:24:52,173 | train | INFO | --Train 2/20
2023-09-18 12:24:52,551 | train | INFO | batch: 0/2500 loss: 0.06139152869582176
2023-09-18 12:25:17,403 | train | INFO | batch: 100/2500 loss: 0.020646115764975548
2023-09-18 12:25:42,259 | train | INFO | batch: 200/2500 loss: 0.03183265030384064
2023-09-18 12:26:07,120 | train | INFO | batch: 300/2500 loss: 0.0739099532365799
2023-09-18 12:26:31,981 | train | INFO | batch: 400/2500 loss: 0.023926444351673126
2023-09-18 12:26:56,841 | train | INFO | batch: 500/2500 loss: 0.21564744412899017
2023-09-18 12:27:21,697 | train | INFO | batch: 600/2500 loss: 0.43153929710388184
2023-09-18 12:27:46,561 | train | INFO | batch: 700/2500 loss: 0.240150585770607
2023-09-18 12:28:11,430 | train | INFO | batch: 800/2500 loss: 0.2583082616329193
2023-09-18 12:28:36,288 | train | INFO | batch: 900/2500 loss: 0.06059795990586281
2023-09-18 12:29:01,154 | train | INFO | batch: 1000/2500 loss: 0.26205122470855713
2023-09-18 12:29:26,020 | train | INFO | batch: 1100/2500 loss: 0.04818812012672424
2023-09-18 12:29:50,977 | train | INFO | batch: 1200/2500 loss: 0.04757121577858925
2023-09-18 12:30:15,836 | train | INFO | batch: 1300/2500 loss: 0.32887038588523865
2023-09-18 12:30:40,696 | train | INFO | batch: 1400/2500 loss: 0.06692962348461151
2023-09-18 12:31:05,564 | train | INFO | batch: 1500/2500 loss: 0.020598802715539932
2023-09-18 12:31:30,424 | train | INFO | batch: 1600/2500 loss: 0.007068229839205742
2023-09-18 12:31:55,283 | train | INFO | batch: 1700/2500 loss: 0.021943973377346992
