2023-10-02 09:50:15,598 | train | INFO | Set Logger /content/results/train/20231002_185015
2023-10-02 09:50:15,693 | train | INFO | Load data, train:100000
2023-10-02 09:50:29,953 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-02 09:50:29,956 | train | INFO | --Train 0/17
2023-10-02 09:50:38,307 | train | INFO | batch: 0/4167 loss: 8.021986961364746
2023-10-02 09:51:14,862 | train | INFO | batch: 100/4167 loss: 1.3957058191299438
2023-10-02 09:51:51,553 | train | INFO | batch: 200/4167 loss: 1.2322920560836792
2023-10-02 09:52:28,236 | train | INFO | batch: 300/4167 loss: 1.3602932691574097
2023-10-02 09:53:04,982 | train | INFO | batch: 400/4167 loss: 0.9344080090522766
2023-10-02 09:53:41,673 | train | INFO | batch: 500/4167 loss: 1.171061635017395
2023-10-02 09:54:18,403 | train | INFO | batch: 600/4167 loss: 1.3193727731704712
2023-10-02 09:54:55,101 | train | INFO | batch: 700/4167 loss: 0.8929469585418701
2023-10-02 09:55:31,757 | train | INFO | batch: 800/4167 loss: 0.904338538646698
2023-10-02 09:56:08,482 | train | INFO | batch: 900/4167 loss: 0.7543898224830627
2023-10-02 09:56:45,201 | train | INFO | batch: 1000/4167 loss: 0.9164599776268005
2023-10-02 09:57:22,063 | train | INFO | batch: 1100/4167 loss: 0.5979174971580505
2023-10-02 09:57:58,779 | train | INFO | batch: 1200/4167 loss: 0.7477338314056396
2023-10-02 09:58:35,455 | train | INFO | batch: 1300/4167 loss: 0.5408419966697693
2023-10-02 09:59:12,236 | train | INFO | batch: 1400/4167 loss: 0.6485360264778137
2023-10-02 09:59:48,974 | train | INFO | batch: 1500/4167 loss: 0.30131229758262634
2023-10-02 10:00:25,717 | train | INFO | batch: 1600/4167 loss: 0.4372435510158539
2023-10-02 10:01:02,449 | train | INFO | batch: 1700/4167 loss: 0.43180230259895325
2023-10-02 10:01:39,224 | train | INFO | batch: 1800/4167 loss: 0.3239190876483917
2023-10-02 10:02:15,942 | train | INFO | batch: 1900/4167 loss: 0.362752228975296
2023-10-02 10:02:52,697 | train | INFO | batch: 2000/4167 loss: 0.22052131593227386
2023-10-02 10:03:29,513 | train | INFO | batch: 2100/4167 loss: 0.28405508399009705
2023-10-02 10:04:06,267 | train | INFO | batch: 2200/4167 loss: 0.22219626605510712
