2023-09-27 05:11:51,890 | train | INFO | Set Logger /content/results/train/20230927_141151
2023-09-27 05:11:51,935 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-27 05:11:59,235 | train | INFO | Load data, train:40000 val:2000--device_num:0
2023-09-27 05:12:00,418 | train | INFO | --Train 0/10 -- device_num:0
2023-09-27 05:12:01,073 | train | INFO | Load data, train:40000 val:2000--device_num:4
2023-09-27 05:12:01,150 | train | INFO | Load data, train:40000 val:2000--device_num:1
2023-09-27 05:12:01,297 | train | INFO | Load data, train:40000 val:2000--device_num:3
2023-09-27 05:12:01,518 | train | INFO | Load data, train:40000 val:2000--device_num:7
2023-09-27 05:12:01,920 | train | INFO | Load data, train:40000 val:2000--device_num:5
2023-09-27 05:12:02,283 | train | INFO | Load data, train:40000 val:2000--device_num:2
2023-09-27 05:12:02,377 | train | INFO | Load data, train:40000 val:2000--device_num:6
2023-09-27 05:12:02,567 | train | INFO | batch: 0/313 loss: 8.962077140808105 - device_num : 0
2023-09-27 05:12:03,380 | train | INFO | --Train 0/10 -- device_num:4
2023-09-27 05:12:05,419 | train | INFO | --Train 0/10 -- device_num:1
2023-09-27 05:12:06,042 | train | INFO | batch: 0/313 loss: 8.427480697631836 - device_num : 4
2023-09-27 05:12:07,540 | train | INFO | --Train 0/10 -- device_num:3
2023-09-27 05:12:08,451 | train | INFO | batch: 0/313 loss: 8.40436840057373 - device_num : 1
2023-09-27 05:12:09,489 | train | INFO | --Train 0/10 -- device_num:7
2023-09-27 05:12:10,844 | train | INFO | batch: 0/313 loss: 8.706995010375977 - device_num : 3
2023-09-27 05:12:11,779 | train | INFO | --Train 0/10 -- device_num:5
2023-09-27 05:12:11,926 | train | INFO | batch: 0/313 loss: 8.437182426452637 - device_num : 7
2023-09-27 05:12:13,638 | train | INFO | --Train 0/10 -- device_num:2
2023-09-27 05:12:13,644 | train | INFO | batch: 0/313 loss: 8.579265594482422 - device_num : 5
2023-09-27 05:12:15,564 | train | INFO | batch: 0/313 loss: 8.796009063720703 - device_num : 2
2023-09-27 05:12:15,576 | train | INFO | --Train 0/10 -- device_num:6
2023-09-27 05:12:17,190 | train | INFO | batch: 0/313 loss: 8.7989501953125 - device_num : 6
2023-09-27 05:14:59,483 | train | INFO | batch: 100/313 loss: 1.3765208721160889 - device_num : 7
2023-09-27 05:14:59,581 | train | INFO | batch: 100/313 loss: 1.7542649507522583 - device_num : 1
2023-09-27 05:14:59,589 | train | INFO | batch: 100/313 loss: 1.5271716117858887 - device_num : 3
2023-09-27 05:14:59,610 | train | INFO | batch: 100/313 loss: 1.4163711071014404 - device_num : 2
2023-09-27 05:14:59,617 | train | INFO | batch: 100/313 loss: 1.5122580528259277 - device_num : 6
2023-09-27 05:14:59,721 | train | INFO | batch: 100/313 loss: 1.1864402294158936 - device_num : 5
2023-09-27 05:14:59,818 | train | INFO | batch: 100/313 loss: 1.391356348991394 - device_num : 4
2023-09-27 05:14:59,887 | train | INFO | batch: 100/313 loss: 1.3504066467285156 - device_num : 0
2023-09-27 05:17:48,060 | train | INFO | batch: 200/313 loss: 1.039523959159851 - device_num : 2
2023-09-27 05:17:48,128 | train | INFO | batch: 200/313 loss: 0.8305770754814148 - device_num : 6
