2023-09-18 15:43:08,271 | train | INFO | Set Logger /content/results/train/20230919_004308
2023-09-18 15:43:08,280 | train | INFO | Load data, train:8000 val:2000
2023-09-18 15:43:11,181 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-18 15:43:11,185 | train | INFO | --Train 0/10
2023-09-18 15:43:13,391 | train | INFO | batch: 0/500 loss: 8.309847831726074
2023-09-18 15:43:34,125 | train | INFO | batch: 100/500 loss: 1.36118745803833
2023-09-18 15:43:55,230 | train | INFO | batch: 200/500 loss: 1.082926630973816
2023-09-18 15:44:16,589 | train | INFO | batch: 300/500 loss: 1.199380874633789
2023-09-18 15:44:38,508 | train | INFO | batch: 400/500 loss: 1.3266364336013794
2023-09-18 15:45:00,576 | train | INFO | --Val 0/10
2023-09-18 15:45:00,713 | train | INFO | batch: 0/125 loss: 1.6583410501480103
2023-09-18 15:45:06,712 | train | INFO | batch: 100/125 loss: 1.0490506887435913
2023-09-18 15:45:08,245 | train | INFO | Write row 0
2023-09-18 15:45:09,162 | train | INFO | Early stopper, counter 0/5, best:0.4725 -> now:0.4725
2023-09-18 15:45:09,162 | train | INFO | Set counter as 0
2023-09-18 15:45:09,163 | train | INFO | Update best score as 0.4725
2023-09-18 15:45:09,515 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230919_004308/model.pt
2023-09-18 15:45:09,515 | train | INFO | --Train 1/10
2023-09-18 15:45:09,821 | train | INFO | batch: 0/500 loss: 0.8042302131652832
2023-09-18 15:45:31,971 | train | INFO | batch: 100/500 loss: 1.1738213300704956
2023-09-18 15:45:54,223 | train | INFO | batch: 200/500 loss: 0.992405891418457
2023-09-18 15:46:16,378 | train | INFO | batch: 300/500 loss: 1.126798391342163
2023-09-18 15:46:38,716 | train | INFO | batch: 400/500 loss: 0.7098633050918579
2023-09-18 15:47:00,738 | train | INFO | --Val 1/10
2023-09-18 15:47:00,943 | train | INFO | batch: 0/125 loss: 1.2747721672058105
2023-09-18 15:47:06,522 | train | INFO | batch: 100/125 loss: 0.7050155997276306
2023-09-18 15:47:07,828 | train | INFO | Write row 1
2023-09-18 15:47:08,578 | train | INFO | Early stopper, counter 0/5, best:0.5745 -> now:0.5745
2023-09-18 15:47:08,578 | train | INFO | Set counter as 0
2023-09-18 15:47:08,578 | train | INFO | Update best score as 0.5745
