2023-09-27 10:00:44,163 | train | INFO | Set Logger /content/results/train/20230927_190044
2023-09-27 10:00:44,236 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-27 10:00:52,318 | train | INFO | Load data, train:40000 val:2000--device_num:0
2023-09-27 10:00:53,528 | train | INFO | --Train 0/10 -- device_num:0
2023-09-27 10:00:53,830 | train | INFO | Load data, train:40000 val:2000--device_num:4
2023-09-27 10:00:53,865 | train | INFO | Load data, train:40000 val:2000--device_num:3
2023-09-27 10:00:54,243 | train | INFO | Load data, train:40000 val:2000--device_num:2
2023-09-27 10:00:54,306 | train | INFO | Load data, train:40000 val:2000--device_num:6
2023-09-27 10:00:54,415 | train | INFO | Load data, train:40000 val:2000--device_num:5
2023-09-27 10:00:54,512 | train | INFO | Load data, train:40000 val:2000--device_num:1
2023-09-27 10:00:55,342 | train | INFO | Load data, train:40000 val:2000--device_num:7
2023-09-27 10:00:56,209 | train | INFO | --Train 0/10 -- device_num:4
2023-09-27 10:00:58,557 | train | INFO | --Train 0/10 -- device_num:3
2023-09-27 10:01:00,357 | train | INFO | --Train 0/10 -- device_num:2
2023-09-27 10:01:02,583 | train | INFO | --Train 0/10 -- device_num:6
2023-09-27 10:01:05,000 | train | INFO | --Train 0/10 -- device_num:5
2023-09-27 10:01:05,112 | train | INFO | batch: 0/313 loss: 8.962077140808105 - device_num : 0
2023-09-27 10:01:05,114 | train | INFO | batch: 0/313 loss: 8.706995010375977 - device_num : 3
2023-09-27 10:01:05,126 | train | INFO | batch: 0/313 loss: 8.796009063720703 - device_num : 2
2023-09-27 10:01:05,215 | train | INFO | batch: 0/313 loss: 8.427480697631836 - device_num : 4
2023-09-27 10:01:06,815 | train | INFO | --Train 0/10 -- device_num:1
2023-09-27 10:01:06,966 | train | INFO | batch: 0/313 loss: 8.7989501953125 - device_num : 6
2023-09-27 10:01:09,293 | train | INFO | batch: 0/313 loss: 8.579265594482422 - device_num : 5
2023-09-27 10:01:09,392 | train | INFO | --Train 0/10 -- device_num:7
2023-09-27 10:01:10,393 | train | INFO | batch: 0/313 loss: 8.40436840057373 - device_num : 1
2023-09-27 10:01:11,885 | train | INFO | batch: 0/313 loss: 8.437182426452637 - device_num : 7
2023-09-27 10:04:31,979 | train | INFO | batch: 100/313 loss: 1.3801286220550537 - device_num : 0
2023-09-27 10:04:32,119 | train | INFO | batch: 100/313 loss: 1.3993113040924072 - device_num : 1
2023-09-27 10:04:32,133 | train | INFO | batch: 100/313 loss: 1.4872381687164307 - device_num : 6
2023-09-27 10:04:32,158 | train | INFO | batch: 100/313 loss: 1.1933763027191162 - device_num : 2
2023-09-27 10:04:32,212 | train | INFO | batch: 100/313 loss: 1.2366271018981934 - device_num : 3
2023-09-27 10:04:32,233 | train | INFO | batch: 100/313 loss: 1.3401432037353516 - device_num : 7
2023-09-27 10:04:32,255 | train | INFO | batch: 100/313 loss: 1.2300317287445068 - device_num : 4
2023-09-27 10:04:32,354 | train | INFO | batch: 100/313 loss: 1.1782540082931519 - device_num : 5
2023-09-27 10:07:15,691 | train | INFO | batch: 200/313 loss: 1.0464757680892944 - device_num : 3
2023-09-27 10:07:15,811 | train | INFO | batch: 200/313 loss: 0.8752018809318542 - device_num : 5
2023-09-27 10:07:15,827 | train | INFO | batch: 200/313 loss: 1.1004728078842163 - device_num : 7
2023-09-27 10:07:15,832 | train | INFO | batch: 200/313 loss: 0.9984899163246155 - device_num : 4
2023-09-27 10:07:15,837 | train | INFO | batch: 200/313 loss: 1.1009135246276855 - device_num : 2
2023-09-27 10:07:15,859 | train | INFO | batch: 200/313 loss: 0.8064419627189636 - device_num : 6
2023-09-27 10:07:15,873 | train | INFO | batch: 200/313 loss: 0.9199459552764893 - device_num : 1
2023-09-27 10:07:15,954 | train | INFO | batch: 200/313 loss: 1.302738904953003 - device_num : 0
2023-09-27 10:10:00,406 | train | INFO | batch: 300/313 loss: 0.6912735104560852 - device_num : 1
2023-09-27 10:10:00,411 | train | INFO | batch: 300/313 loss: 0.9343857169151306 - device_num : 0
2023-09-27 10:10:00,410 | train | INFO | batch: 300/313 loss: 0.7586497068405151 - device_num : 3
2023-09-27 10:10:00,429 | train | INFO | batch: 300/313 loss: 1.232773780822754 - device_num : 7
2023-09-27 10:10:00,434 | train | INFO | batch: 300/313 loss: 0.8415157198905945 - device_num : 6
2023-09-27 10:10:00,442 | train | INFO | batch: 300/313 loss: 0.7186545729637146 - device_num : 4
2023-09-27 10:10:00,448 | train | INFO | batch: 300/313 loss: 0.7634206414222717 - device_num : 2
2023-09-27 10:10:00,447 | train | INFO | batch: 300/313 loss: 0.6871266961097717 - device_num : 5
2023-09-27 10:10:43,933 | train | INFO | --Val 0/10 -- device_num:5
2023-09-27 10:10:43,936 | train | INFO | --Val 0/10 -- device_num:1
2023-09-27 10:10:43,929 | train | INFO | --Val 0/10 -- device_num:4
2023-09-27 10:10:43,928 | train | INFO | --Val 0/10 -- device_num:2
2023-09-27 10:10:43,973 | train | INFO | --Val 0/10 -- device_num:6
2023-09-27 10:10:44,062 | train | INFO | --Val 0/10 -- device_num:0
2023-09-27 10:10:44,129 | train | INFO | --Val 0/10 -- device_num:7
2023-09-27 10:10:44,135 | train | INFO | --Val 0/10 -- device_num:3
2023-09-27 10:10:50,873 | train | INFO | batch: 0/16 loss: 0.720536470413208 - device_num : 4
2023-09-27 10:10:51,447 | train | INFO | batch: 0/16 loss: 0.9519190788269043 - device_num : 1
2023-09-27 10:10:52,779 | train | INFO | batch: 0/16 loss: 0.620795726776123 - device_num : 6
2023-09-27 10:10:53,124 | train | INFO | batch: 0/16 loss: 0.8080265522003174 - device_num : 5
2023-09-27 10:10:53,280 | train | INFO | batch: 0/16 loss: 1.3514606952667236 - device_num : 3
2023-09-27 10:10:53,416 | train | INFO | batch: 0/16 loss: 0.9006055593490601 - device_num : 7
2023-09-27 10:10:53,641 | train | INFO | batch: 0/16 loss: 0.9129398465156555 - device_num : 0
2023-09-27 10:10:53,654 | train | INFO | batch: 0/16 loss: 0.9606046080589294 - device_num : 2
2023-09-27 10:11:24,166 | train | INFO | --Train 1/10 -- device_num:6
2023-09-27 10:11:24,169 | train | INFO | --Train 1/10 -- device_num:7
2023-09-27 10:11:24,172 | train | INFO | --Train 1/10 -- device_num:3
2023-09-27 10:11:24,175 | train | INFO | --Train 1/10 -- device_num:1
2023-09-27 10:11:24,179 | train | INFO | --Train 1/10 -- device_num:5
2023-09-27 10:11:24,216 | train | INFO | Write row 0
2023-09-27 10:11:24,224 | train | INFO | --Train 1/10 -- device_num:4
2023-09-27 10:11:24,284 | train | INFO | --Train 1/10 -- device_num:2
2023-09-27 10:11:33,930 | train | INFO | batch: 0/313 loss: 0.806256890296936 - device_num : 1
2023-09-27 10:11:34,648 | train | INFO | batch: 0/313 loss: 0.7350641489028931 - device_num : 4
2023-09-27 10:11:34,649 | train | INFO | batch: 0/313 loss: 0.6968958973884583 - device_num : 3
2023-09-27 10:11:34,958 | train | INFO | batch: 0/313 loss: 0.8281736969947815 - device_num : 7
2023-09-27 10:11:35,035 | train | INFO | batch: 0/313 loss: 1.0354812145233154 - device_num : 6
2023-09-27 10:11:35,219 | train | INFO | batch: 0/313 loss: 1.0168722867965698 - device_num : 5
2023-09-27 10:11:35,387 | train | INFO | batch: 0/313 loss: 0.8458037376403809 - device_num : 2
2023-09-27 10:11:38,957 | train | INFO | --Train 1/10 -- device_num:0
2023-09-27 10:11:40,413 | train | INFO | batch: 0/313 loss: 1.0245416164398193 - device_num : 0
2023-09-27 10:14:24,666 | train | INFO | batch: 100/313 loss: 0.7671428322792053 - device_num : 4
2023-09-27 10:14:24,686 | train | INFO | batch: 100/313 loss: 0.9313300848007202 - device_num : 6
2023-09-27 10:14:24,699 | train | INFO | batch: 100/313 loss: 0.5344156622886658 - device_num : 3
2023-09-27 10:14:24,742 | train | INFO | batch: 100/313 loss: 0.7749475836753845 - device_num : 5
2023-09-27 10:14:24,757 | train | INFO | batch: 100/313 loss: 1.2295749187469482 - device_num : 0
2023-09-27 10:14:24,790 | train | INFO | batch: 100/313 loss: 0.7524982690811157 - device_num : 1
2023-09-27 10:14:24,824 | train | INFO | batch: 100/313 loss: 0.6316948533058167 - device_num : 2
2023-09-27 10:14:24,842 | train | INFO | batch: 100/313 loss: 0.9078478813171387 - device_num : 7
2023-09-27 10:17:07,476 | train | INFO | batch: 200/313 loss: 0.7155909538269043 - device_num : 6
2023-09-27 10:17:07,479 | train | INFO | batch: 200/313 loss: 0.25184720754623413 - device_num : 5
2023-09-27 10:17:07,491 | train | INFO | batch: 200/313 loss: 0.7411212921142578 - device_num : 4
2023-09-27 10:17:07,515 | train | INFO | batch: 200/313 loss: 0.4165351986885071 - device_num : 0
2023-09-27 10:17:07,574 | train | INFO | batch: 200/313 loss: 0.3015882074832916 - device_num : 2
2023-09-27 10:17:07,690 | train | INFO | batch: 200/313 loss: 0.1300731599330902 - device_num : 3
2023-09-27 10:17:07,828 | train | INFO | batch: 200/313 loss: 0.3257531523704529 - device_num : 1
2023-09-27 10:17:07,875 | train | INFO | batch: 200/313 loss: 0.6620268225669861 - device_num : 7
2023-09-27 10:19:53,836 | train | INFO | batch: 300/313 loss: 0.2235082983970642 - device_num : 3
2023-09-27 10:19:53,988 | train | INFO | batch: 300/313 loss: 0.44637441635131836 - device_num : 2
2023-09-27 10:19:54,143 | train | INFO | batch: 300/313 loss: 0.24046996235847473 - device_num : 6
2023-09-27 10:19:54,305 | train | INFO | batch: 300/313 loss: 0.4914245009422302 - device_num : 0
2023-09-27 10:19:54,367 | train | INFO | batch: 300/313 loss: 0.17027288675308228 - device_num : 5
2023-09-27 10:19:54,400 | train | INFO | batch: 300/313 loss: 0.2692301571369171 - device_num : 7
2023-09-27 10:19:54,535 | train | INFO | batch: 300/313 loss: 0.2581422030925751 - device_num : 4
2023-09-27 10:19:54,601 | train | INFO | batch: 300/313 loss: 0.13982835412025452 - device_num : 1
2023-09-27 10:20:06,184 | train | INFO | --Val 1/10 -- device_num:5
2023-09-27 10:20:06,195 | train | INFO | --Val 1/10 -- device_num:0
2023-09-27 10:20:06,196 | train | INFO | --Val 1/10 -- device_num:4
