epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230919_001343,1.3815164104700088,111.62972450256348,0.38825,0.09367223172329603,1.2449530830383302,7.310436248779297,0.438,0.4352090878122679
1,20230919_001343,1.144009125649929,111.1685242652893,0.4785,0.5057143730326926,1.093810480117798,6.719491958618164,0.5095,0.5281080774814372
2,20230919_001343,0.938886817753315,111.29179382324219,0.597,0.6198437941389403,1.0675662813186646,6.931871175765991,0.556,0.5727331489207936
3,20230919_001343,0.6396023992598057,111.35908341407776,0.7465,0.7603241994393215,0.8176632015705109,7.580891132354736,0.68,0.6980204300645416
4,20230919_001343,0.3503630948625505,111.20763278007507,0.870875,0.8775919900848447,0.7275220577716828,7.2093846797943115,0.747,0.7661009657142192
5,20230919_001343,0.19891720850579442,111.41521310806274,0.929875,0.9333062101382026,0.7651370093822479,6.783445596694946,0.7695,0.784129325662777
6,20230919_001343,0.13739884789055212,111.54987025260925,0.95025,0.9523176989844362,0.891037287056446,7.143587350845337,0.754,0.7726982522859794
7,20230919_001343,0.1124483665660955,111.2892918586731,0.96175,0.9629655815092188,1.1336251764297485,7.567843437194824,0.7005,0.7192445714691781
8,20230919_001343,0.10618285194347846,111.34306192398071,0.963625,0.9644644449328125,0.7938350405097008,7.031177759170532,0.78,0.7938071044633176
9,20230919_001343,0.07132273396628443,111.57174491882324,0.975125,0.9760610463654189,0.919147440314293,6.779524803161621,0.768,0.7834769939091077
