epoch_index,train_serial,train_loss,train_elapsed_time,train_accuracy,train_f1macro,val_loss,val_elapsed_time,val_accuracy,val_f1macro
0,20230919_011900,0.9194361996918917,557.8649938106537,0.61295,0.13744429362187507,0.7414918386936188,6.649003505706787,0.7305,0.7445426801209223
1,20230919_011900,0.2566168459982611,552.1859929561615,0.9061,0.9108283821908506,0.5787017292380333,6.734367370605469,0.811,0.8273826228749093
2,20230919_011900,0.1256664851538837,551.837114572525,0.95605,0.9580161335334415,0.5302250702828168,7.368329286575317,0.859,0.8683112950078916
3,20230919_011900,0.08910678440430202,550.9093172550201,0.969,0.9702834403072087,0.6806809170395136,6.851864576339722,0.8275,0.8401906185834676
4,20230919_011900,0.06701081798209343,551.4680817127228,0.977,0.977958807232881,0.5746657474283129,6.635433912277222,0.874,0.8823805039304204
5,20230919_011900,0.06192983455865324,551.661196231842,0.978575,0.9795021300131366,0.5618183128563687,7.420456647872925,0.862,0.8719314652906618
6,20230919_011900,0.05205478500869358,551.1548132896423,0.9823,0.9830135276862905,0.617352178979665,7.212631940841675,0.858,0.8693806257680965
7,20230919_011900,0.04918961004661978,551.9433858394623,0.983075,0.9837700496413421,0.49103890293836594,6.650536775588989,0.8805,0.8879282119720721
8,20230919_011900,0.04153492640610784,551.6456389427185,0.986075,0.9865462126027383,0.5790274367406965,7.476038694381714,0.877,0.8849966679528821
9,20230919_011900,0.03868150789867505,552.1618494987488,0.98645,0.986929277653853,0.6687688609044999,6.913240432739258,0.8695,0.8762730067008253
