2023-09-18 16:19:00,670 | train | INFO | Set Logger /content/results/train/20230919_011900
2023-09-18 16:19:00,711 | train | INFO | Load data, train:40000 val:2000
2023-09-18 16:19:07,315 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-18 16:19:07,319 | train | INFO | --Train 0/10
2023-09-18 16:19:16,067 | train | INFO | batch: 0/2500 loss: 8.623101234436035
2023-09-18 16:19:37,920 | train | INFO | batch: 100/2500 loss: 1.4068851470947266
2023-09-18 16:19:59,214 | train | INFO | batch: 200/2500 loss: 1.114160418510437
2023-09-18 16:20:20,755 | train | INFO | batch: 300/2500 loss: 1.1496957540512085
2023-09-18 16:20:42,375 | train | INFO | batch: 400/2500 loss: 1.261902928352356
2023-09-18 16:21:04,282 | train | INFO | batch: 500/2500 loss: 1.5225317478179932
2023-09-18 16:21:26,263 | train | INFO | batch: 600/2500 loss: 1.1446031332015991
2023-09-18 16:21:48,428 | train | INFO | batch: 700/2500 loss: 1.1019316911697388
2023-09-18 16:22:10,382 | train | INFO | batch: 800/2500 loss: 0.7041635513305664
2023-09-18 16:22:32,520 | train | INFO | batch: 900/2500 loss: 0.8631749153137207
2023-09-18 16:22:54,493 | train | INFO | batch: 1000/2500 loss: 1.3271121978759766
2023-09-18 16:23:16,666 | train | INFO | batch: 1100/2500 loss: 1.1130977869033813
2023-09-18 16:23:38,710 | train | INFO | batch: 1200/2500 loss: 0.9612045884132385
2023-09-18 16:24:00,744 | train | INFO | batch: 1300/2500 loss: 0.7056564688682556
2023-09-18 16:24:22,736 | train | INFO | batch: 1400/2500 loss: 1.085769772529602
2023-09-18 16:24:44,874 | train | INFO | batch: 1500/2500 loss: 0.5602318048477173
2023-09-18 16:25:06,834 | train | INFO | batch: 1600/2500 loss: 0.5598426461219788
2023-09-18 16:25:28,961 | train | INFO | batch: 1700/2500 loss: 0.740275502204895
2023-09-18 16:25:51,013 | train | INFO | batch: 1800/2500 loss: 0.7526101469993591
2023-09-18 16:26:13,072 | train | INFO | batch: 1900/2500 loss: 0.3877609968185425
2023-09-18 16:26:35,075 | train | INFO | batch: 2000/2500 loss: 0.6139655113220215
2023-09-18 16:26:57,163 | train | INFO | batch: 2100/2500 loss: 0.32430216670036316
2023-09-18 16:27:19,159 | train | INFO | batch: 2200/2500 loss: 0.596511960029602
2023-09-18 16:27:41,321 | train | INFO | batch: 2300/2500 loss: 0.5824974775314331
2023-09-18 16:28:03,263 | train | INFO | batch: 2400/2500 loss: 0.3484472930431366
2023-09-18 16:28:25,185 | train | INFO | --Val 0/10
2023-09-18 16:28:25,318 | train | INFO | batch: 0/125 loss: 0.4764153063297272
2023-09-18 16:28:30,466 | train | INFO | batch: 100/125 loss: 0.5751003623008728
2023-09-18 16:28:31,835 | train | INFO | Write row 0
2023-09-18 16:28:33,245 | train | INFO | Early stopper, counter 0/5, best:0.7305 -> now:0.7305
2023-09-18 16:28:33,245 | train | INFO | Set counter as 0
2023-09-18 16:28:33,245 | train | INFO | Update best score as 0.7305
2023-09-18 16:28:33,781 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230919_011900/model.pt
2023-09-18 16:28:33,785 | train | INFO | --Train 1/10
2023-09-18 16:28:34,273 | train | INFO | batch: 0/2500 loss: 0.41807112097740173
2023-09-18 16:28:56,285 | train | INFO | batch: 100/2500 loss: 0.2735101580619812
2023-09-18 16:29:18,391 | train | INFO | batch: 200/2500 loss: 0.6085500717163086
2023-09-18 16:29:40,425 | train | INFO | batch: 300/2500 loss: 0.6246858835220337
2023-09-18 16:30:02,528 | train | INFO | batch: 400/2500 loss: 0.31256288290023804
2023-09-18 16:30:24,497 | train | INFO | batch: 500/2500 loss: 0.4484207332134247
2023-09-18 16:30:46,640 | train | INFO | batch: 600/2500 loss: 0.07436080276966095
2023-09-18 16:31:08,556 | train | INFO | batch: 700/2500 loss: 0.4199584722518921
2023-09-18 16:31:30,699 | train | INFO | batch: 800/2500 loss: 0.23212826251983643
2023-09-18 16:31:52,727 | train | INFO | batch: 900/2500 loss: 0.0582868792116642
2023-09-18 16:32:14,910 | train | INFO | batch: 1000/2500 loss: 0.5666206479072571
2023-09-18 16:32:36,908 | train | INFO | batch: 1100/2500 loss: 0.10780887305736542
2023-09-18 16:32:59,052 | train | INFO | batch: 1200/2500 loss: 0.35612422227859497
2023-09-18 16:33:21,082 | train | INFO | batch: 1300/2500 loss: 0.557029664516449
2023-09-18 16:33:43,260 | train | INFO | batch: 1400/2500 loss: 0.10522480309009552
2023-09-18 16:34:05,268 | train | INFO | batch: 1500/2500 loss: 0.21371375024318695
2023-09-18 16:34:27,297 | train | INFO | batch: 1600/2500 loss: 0.13308154046535492
2023-09-18 16:34:49,196 | train | INFO | batch: 1700/2500 loss: 0.03223816305398941
2023-09-18 16:35:11,313 | train | INFO | batch: 1800/2500 loss: 0.0655500590801239
2023-09-18 16:35:33,432 | train | INFO | batch: 1900/2500 loss: 0.10148822516202927
2023-09-18 16:35:55,531 | train | INFO | batch: 2000/2500 loss: 0.05014853924512863
2023-09-18 16:36:17,628 | train | INFO | batch: 2100/2500 loss: 0.11572243273258209
2023-09-18 16:36:39,643 | train | INFO | batch: 2200/2500 loss: 0.4141141474246979
2023-09-18 16:37:01,789 | train | INFO | batch: 2300/2500 loss: 0.26626667380332947
2023-09-18 16:37:23,833 | train | INFO | batch: 2400/2500 loss: 0.07415846735239029
2023-09-18 16:37:45,971 | train | INFO | --Val 1/10
2023-09-18 16:37:46,159 | train | INFO | batch: 0/125 loss: 0.3441535234451294
2023-09-18 16:37:51,418 | train | INFO | batch: 100/125 loss: 0.2113358974456787
2023-09-18 16:37:52,707 | train | INFO | Write row 1
2023-09-18 16:37:53,487 | train | INFO | Early stopper, counter 0/5, best:0.811 -> now:0.811
2023-09-18 16:37:53,487 | train | INFO | Set counter as 0
2023-09-18 16:37:53,487 | train | INFO | Update best score as 0.811
2023-09-18 16:37:53,898 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230919_011900/model.pt
2023-09-18 16:37:53,898 | train | INFO | --Train 2/10
2023-09-18 16:37:54,234 | train | INFO | batch: 0/2500 loss: 0.03357991576194763
2023-09-18 16:38:16,247 | train | INFO | batch: 100/2500 loss: 0.14622975885868073
2023-09-18 16:38:38,247 | train | INFO | batch: 200/2500 loss: 0.13928985595703125
2023-09-18 16:39:00,365 | train | INFO | batch: 300/2500 loss: 0.26722291111946106
2023-09-18 16:39:22,414 | train | INFO | batch: 400/2500 loss: 0.12619109451770782
2023-09-18 16:39:44,549 | train | INFO | batch: 500/2500 loss: 0.1423638015985489
2023-09-18 16:40:06,591 | train | INFO | batch: 600/2500 loss: 0.09939876943826675
2023-09-18 16:40:28,837 | train | INFO | batch: 700/2500 loss: 0.23977181315422058
2023-09-18 16:40:50,789 | train | INFO | batch: 800/2500 loss: 0.25552046298980713
2023-09-18 16:41:12,900 | train | INFO | batch: 900/2500 loss: 0.41383418440818787
2023-09-18 16:41:34,858 | train | INFO | batch: 1000/2500 loss: 0.1664113998413086
2023-09-18 16:41:56,905 | train | INFO | batch: 1100/2500 loss: 0.32052984833717346
2023-09-18 16:42:19,027 | train | INFO | batch: 1200/2500 loss: 0.32204708456993103
2023-09-18 16:42:41,124 | train | INFO | batch: 1300/2500 loss: 0.4363824427127838
2023-09-18 16:43:03,217 | train | INFO | batch: 1400/2500 loss: 0.09330920875072479
2023-09-18 16:43:25,235 | train | INFO | batch: 1500/2500 loss: 0.04523691534996033
2023-09-18 16:43:47,377 | train | INFO | batch: 1600/2500 loss: 0.030898764729499817
2023-09-18 16:44:09,365 | train | INFO | batch: 1700/2500 loss: 0.0053456975147128105
2023-09-18 16:44:31,479 | train | INFO | batch: 1800/2500 loss: 0.2514313757419586
2023-09-18 16:44:53,462 | train | INFO | batch: 1900/2500 loss: 0.035973094403743744
2023-09-18 16:45:15,666 | train | INFO | batch: 2000/2500 loss: 0.046945273876190186
2023-09-18 16:45:37,654 | train | INFO | batch: 2100/2500 loss: 0.008404725231230259
2023-09-18 16:45:59,698 | train | INFO | batch: 2200/2500 loss: 0.11374576389789581
2023-09-18 16:46:21,661 | train | INFO | batch: 2300/2500 loss: 0.0020569900516420603
2023-09-18 16:46:43,821 | train | INFO | batch: 2400/2500 loss: 0.3745216727256775
2023-09-18 16:47:05,736 | train | INFO | --Val 2/10
2023-09-18 16:47:05,868 | train | INFO | batch: 0/125 loss: 0.060931865125894547
2023-09-18 16:47:11,811 | train | INFO | batch: 100/125 loss: 0.41760900616645813
2023-09-18 16:47:13,106 | train | INFO | Write row 2
2023-09-18 16:47:13,884 | train | INFO | Early stopper, counter 0/5, best:0.859 -> now:0.859
2023-09-18 16:47:13,884 | train | INFO | Set counter as 0
2023-09-18 16:47:13,884 | train | INFO | Update best score as 0.859
