2023-09-26 03:18:20,297 | train | INFO | Set Logger /content/results/train/20230926_121820
2023-09-26 03:18:20,388 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-26 03:18:33,326 | train | INFO | Load data, train:40000 val:2000--device_num:0
2023-09-26 03:18:34,486 | train | INFO | --Train 0/10 -- device_num:0
2023-09-26 03:18:35,720 | train | INFO | Load data, train:40000 val:2000--device_num:6
2023-09-26 03:18:36,521 | train | INFO | Load data, train:40000 val:2000--device_num:1
2023-09-26 03:18:37,256 | train | INFO | Load data, train:40000 val:2000--device_num:7
2023-09-26 03:18:37,600 | train | INFO | --Train 0/10 -- device_num:6
2023-09-26 03:18:37,833 | train | INFO | Load data, train:40000 val:2000--device_num:4
2023-09-26 03:18:38,545 | train | INFO | Load data, train:40000 val:2000--device_num:5
2023-09-26 03:18:38,596 | train | INFO | Load data, train:40000 val:2000--device_num:2
2023-09-26 03:18:38,798 | train | INFO | Load data, train:40000 val:2000--device_num:3
2023-09-26 03:18:39,510 | train | INFO | --Train 0/10 -- device_num:1
2023-09-26 03:18:41,391 | train | INFO | --Train 0/10 -- device_num:7
2023-09-26 03:18:43,126 | train | INFO | --Train 0/10 -- device_num:4
2023-09-26 03:18:45,089 | train | INFO | --Train 0/10 -- device_num:5
2023-09-26 03:18:46,233 | train | INFO | batch: 0/313 loss: 8.7989501953125 - device_num : 6
2023-09-26 03:18:46,233 | train | INFO | batch: 0/313 loss: 8.427480697631836 - device_num : 4
2023-09-26 03:18:46,248 | train | INFO | batch: 0/313 loss: 8.962077140808105 - device_num : 0
2023-09-26 03:18:46,259 | train | INFO | batch: 0/313 loss: 8.40436840057373 - device_num : 1
2023-09-26 03:18:46,368 | train | INFO | batch: 0/313 loss: 8.437182426452637 - device_num : 7
2023-09-26 03:18:47,143 | train | INFO | --Train 0/10 -- device_num:2
2023-09-26 03:18:49,945 | train | INFO | --Train 0/10 -- device_num:3
2023-09-26 03:18:50,067 | train | INFO | batch: 0/313 loss: 8.579265594482422 - device_num : 5
2023-09-26 03:18:54,539 | train | INFO | batch: 0/313 loss: 8.796009063720703 - device_num : 2
2023-09-26 03:18:55,905 | train | INFO | batch: 0/313 loss: 8.706995010375977 - device_num : 3
2023-09-26 03:22:21,588 | train | INFO | batch: 100/313 loss: 1.3416398763656616 - device_num : 1
2023-09-26 03:22:21,605 | train | INFO | batch: 100/313 loss: 1.135200023651123 - device_num : 4
2023-09-26 03:22:21,633 | train | INFO | batch: 100/313 loss: 1.2915939092636108 - device_num : 0
2023-09-26 03:22:21,636 | train | INFO | batch: 100/313 loss: 1.3218886852264404 - device_num : 7
2023-09-26 03:22:21,668 | train | INFO | batch: 100/313 loss: 1.1841720342636108 - device_num : 3
2023-09-26 03:22:21,740 | train | INFO | batch: 100/313 loss: 1.0895482301712036 - device_num : 2
2023-09-26 03:22:21,867 | train | INFO | batch: 100/313 loss: 1.1968257427215576 - device_num : 5
2023-09-26 03:22:22,016 | train | INFO | batch: 100/313 loss: 1.3145697116851807 - device_num : 6
2023-09-26 03:24:57,328 | train | INFO | batch: 200/313 loss: 1.151334524154663 - device_num : 7
2023-09-26 03:24:57,418 | train | INFO | batch: 200/313 loss: 0.8548288345336914 - device_num : 1
2023-09-26 03:24:57,440 | train | INFO | batch: 200/313 loss: 0.9674398303031921 - device_num : 2
2023-09-26 03:24:57,447 | train | INFO | batch: 200/313 loss: 0.8986026048660278 - device_num : 3
2023-09-26 03:24:57,463 | train | INFO | batch: 200/313 loss: 1.298388123512268 - device_num : 0
2023-09-26 03:24:57,504 | train | INFO | batch: 200/313 loss: 0.9962682127952576 - device_num : 4
2023-09-26 03:24:57,541 | train | INFO | batch: 200/313 loss: 0.8873186707496643 - device_num : 5
2023-09-26 03:24:57,612 | train | INFO | batch: 200/313 loss: 0.7760291695594788 - device_num : 6
2023-09-26 03:27:38,863 | train | INFO | batch: 300/313 loss: 0.7306041121482849 - device_num : 4
2023-09-26 03:27:38,863 | train | INFO | batch: 300/313 loss: 1.1801793575286865 - device_num : 7
2023-09-26 03:27:38,889 | train | INFO | batch: 300/313 loss: 0.7411701679229736 - device_num : 1
2023-09-26 03:27:38,896 | train | INFO | batch: 300/313 loss: 0.9799512624740601 - device_num : 0
2023-09-26 03:27:38,896 | train | INFO | batch: 300/313 loss: 0.8758234977722168 - device_num : 6
2023-09-26 03:27:38,899 | train | INFO | batch: 300/313 loss: 0.7830833792686462 - device_num : 2
2023-09-26 03:27:38,901 | train | INFO | batch: 300/313 loss: 0.7120144367218018 - device_num : 5
2023-09-26 03:27:38,908 | train | INFO | batch: 300/313 loss: 0.7901324033737183 - device_num : 3
2023-09-26 03:28:22,162 | train | INFO | --Val 0/10 -- device_num:0
2023-09-26 03:28:22,184 | train | INFO | --Val 0/10 -- device_num:7
2023-09-26 03:28:22,185 | train | INFO | --Val 0/10 -- device_num:6
2023-09-26 03:28:22,187 | train | INFO | --Val 0/10 -- device_num:1
2023-09-26 03:28:22,189 | train | INFO | --Val 0/10 -- device_num:2
2023-09-26 03:28:22,201 | train | INFO | --Val 0/10 -- device_num:3
2023-09-26 03:28:22,212 | train | INFO | --Val 0/10 -- device_num:4
2023-09-26 03:28:22,223 | train | INFO | --Val 0/10 -- device_num:5
2023-09-26 03:28:28,062 | train | INFO | batch: 0/16 loss: 0.7937133312225342 - device_num : 5
2023-09-26 03:28:29,060 | train | INFO | batch: 0/16 loss: 1.0198523998260498 - device_num : 2
2023-09-26 03:28:29,574 | train | INFO | batch: 0/16 loss: 0.7633375525474548 - device_num : 4
2023-09-26 03:28:30,572 | train | INFO | batch: 0/16 loss: 0.9365341663360596 - device_num : 0
2023-09-26 03:28:30,664 | train | INFO | batch: 0/16 loss: 0.5602108836174011 - device_num : 6
2023-09-26 03:28:30,687 | train | INFO | batch: 0/16 loss: 0.8743029832839966 - device_num : 7
2023-09-26 03:28:30,698 | train | INFO | batch: 0/16 loss: 0.9062436819076538 - device_num : 1
2023-09-26 03:28:30,753 | train | INFO | batch: 0/16 loss: 1.2885931730270386 - device_num : 3
