2023-09-28 03:52:35,199 | train | INFO | Set Logger /content/results/train/20230928_125235
2023-09-28 03:52:35,242 | train | INFO | Load data, train:50000 val:2000
2023-09-28 03:52:37,462 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-28 03:52:37,464 | train | INFO | --Train 0/10
2023-09-28 03:52:39,426 | train | INFO | batch: 0/3125 loss: 7.823546409606934
2023-09-28 03:53:01,276 | train | INFO | batch: 100/3125 loss: 1.4917701482772827
2023-09-28 03:53:23,433 | train | INFO | batch: 200/3125 loss: 1.0148690938949585
2023-09-28 03:53:45,613 | train | INFO | batch: 300/3125 loss: 1.180619716644287
2023-09-28 03:54:07,684 | train | INFO | batch: 400/3125 loss: 1.293440580368042
2023-09-28 03:54:29,638 | train | INFO | batch: 500/3125 loss: 1.1868888139724731
2023-09-28 03:54:51,704 | train | INFO | batch: 600/3125 loss: 1.1409250497817993
2023-09-28 03:55:13,645 | train | INFO | batch: 700/3125 loss: 1.179162621498108
2023-09-28 03:55:35,682 | train | INFO | batch: 800/3125 loss: 1.323130488395691
2023-09-28 03:55:57,663 | train | INFO | batch: 900/3125 loss: 1.12587571144104
2023-09-28 03:56:19,839 | train | INFO | batch: 1000/3125 loss: 0.9874873161315918
2023-09-28 03:56:41,842 | train | INFO | batch: 1100/3125 loss: 0.801352322101593
2023-09-28 03:57:03,821 | train | INFO | batch: 1200/3125 loss: 1.000360369682312
2023-09-28 03:57:25,873 | train | INFO | batch: 1300/3125 loss: 1.081786036491394
2023-09-28 03:57:47,852 | train | INFO | batch: 1400/3125 loss: 0.8506672382354736
2023-09-28 03:58:09,987 | train | INFO | batch: 1500/3125 loss: 1.6764843463897705
2023-09-28 03:58:31,922 | train | INFO | batch: 1600/3125 loss: 0.9300892353057861
2023-09-28 03:58:53,927 | train | INFO | batch: 1700/3125 loss: 0.6193006634712219
2023-09-28 03:59:16,063 | train | INFO | batch: 1800/3125 loss: 0.6340294480323792
2023-09-28 03:59:38,111 | train | INFO | batch: 1900/3125 loss: 0.8714364171028137
2023-09-28 04:00:00,177 | train | INFO | batch: 2000/3125 loss: 0.3928601145744324
2023-09-28 04:00:22,213 | train | INFO | batch: 2100/3125 loss: 0.817357063293457
2023-09-28 04:00:44,327 | train | INFO | batch: 2200/3125 loss: 1.1264312267303467
2023-09-28 04:01:06,286 | train | INFO | batch: 2300/3125 loss: 0.6468594074249268
2023-09-28 04:01:28,367 | train | INFO | batch: 2400/3125 loss: 0.6013316512107849
2023-09-28 04:01:50,318 | train | INFO | batch: 2500/3125 loss: 0.5105825662612915
2023-09-28 04:02:12,398 | train | INFO | batch: 2600/3125 loss: 0.44770747423171997
2023-09-28 04:02:34,432 | train | INFO | batch: 2700/3125 loss: 0.565774142742157
2023-09-28 04:02:56,447 | train | INFO | batch: 2800/3125 loss: 0.6122868657112122
2023-09-28 04:03:18,438 | train | INFO | batch: 2900/3125 loss: 0.5451520085334778
2023-09-28 04:03:40,404 | train | INFO | batch: 3000/3125 loss: 0.9444139003753662
2023-09-28 04:04:02,466 | train | INFO | batch: 3100/3125 loss: 0.49354031682014465
2023-09-28 04:04:07,829 | train | INFO | Write row 0
2023-09-28 04:04:08,671 | train | INFO | --Train 1/10
2023-09-28 04:04:09,007 | train | INFO | batch: 0/3125 loss: 0.5564385652542114
2023-09-28 04:04:31,064 | train | INFO | batch: 100/3125 loss: 0.29547667503356934
2023-09-28 04:04:53,078 | train | INFO | batch: 200/3125 loss: 0.09982290118932724
2023-09-28 04:05:15,104 | train | INFO | batch: 300/3125 loss: 0.06413953006267548
2023-09-28 04:05:37,146 | train | INFO | batch: 400/3125 loss: 0.23384632170200348
2023-09-28 04:05:59,152 | train | INFO | batch: 500/3125 loss: 0.15647076070308685
2023-09-28 04:06:21,178 | train | INFO | batch: 600/3125 loss: 0.7616356611251831
2023-09-28 04:06:43,077 | train | INFO | batch: 700/3125 loss: 0.8715835809707642
2023-09-28 04:07:05,058 | train | INFO | batch: 800/3125 loss: 0.060870714485645294
2023-09-28 04:07:27,104 | train | INFO | batch: 900/3125 loss: 0.1689942628145218
2023-09-28 04:07:49,114 | train | INFO | batch: 1000/3125 loss: 0.5897164344787598
2023-09-28 04:08:11,327 | train | INFO | batch: 1100/3125 loss: 0.4059304893016815
