2023-09-24 13:35:43,838 | train | INFO | Set Logger /content/results/train/20230924_223543
2023-09-24 13:35:43,879 | train | INFO | Load data, train:40000 val:2000
2023-09-24 13:35:50,520 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-24 13:35:50,522 | train | INFO | --Train 0/10
2023-09-24 13:35:58,410 | train | INFO | batch: 0/2500 loss: 8.440515518188477
2023-09-24 13:36:19,349 | train | INFO | batch: 100/2500 loss: 1.2195873260498047
2023-09-24 13:36:40,838 | train | INFO | batch: 200/2500 loss: 1.4825050830841064
2023-09-24 13:37:02,486 | train | INFO | batch: 300/2500 loss: 1.5512038469314575
2023-09-24 13:37:24,465 | train | INFO | batch: 400/2500 loss: 1.210700511932373
2023-09-24 13:37:46,910 | train | INFO | batch: 500/2500 loss: 1.1776456832885742
2023-09-24 13:38:08,952 | train | INFO | batch: 600/2500 loss: 1.3637714385986328
2023-09-24 13:38:31,081 | train | INFO | batch: 700/2500 loss: 0.7574717402458191
2023-09-24 13:38:53,185 | train | INFO | batch: 800/2500 loss: 1.0647138357162476
2023-09-24 13:39:15,336 | train | INFO | batch: 900/2500 loss: 1.0955144166946411
2023-09-24 13:39:37,388 | train | INFO | batch: 1000/2500 loss: 0.536178469657898
2023-09-24 13:39:59,537 | train | INFO | batch: 1100/2500 loss: 1.03922438621521
2023-09-24 13:40:21,863 | train | INFO | batch: 1200/2500 loss: 1.077760100364685
2023-09-24 13:40:44,010 | train | INFO | batch: 1300/2500 loss: 1.0158573389053345
2023-09-24 13:41:06,094 | train | INFO | batch: 1400/2500 loss: 0.5728791356086731
2023-09-24 13:41:28,273 | train | INFO | batch: 1500/2500 loss: 0.773455023765564
2023-09-24 13:41:50,382 | train | INFO | batch: 1600/2500 loss: 0.6578211188316345
2023-09-24 13:42:12,559 | train | INFO | batch: 1700/2500 loss: 0.5969542860984802
2023-09-24 13:42:34,724 | train | INFO | batch: 1800/2500 loss: 0.3953263461589813
2023-09-24 13:42:56,882 | train | INFO | batch: 1900/2500 loss: 0.44335049390792847
2023-09-24 13:43:19,021 | train | INFO | batch: 2000/2500 loss: 0.32238149642944336
2023-09-24 13:43:41,094 | train | INFO | batch: 2100/2500 loss: 0.5278434157371521
2023-09-24 13:44:03,296 | train | INFO | batch: 2200/2500 loss: 0.5032109618186951
2023-09-24 13:44:25,363 | train | INFO | batch: 2300/2500 loss: 0.493558406829834
2023-09-24 13:44:47,599 | train | INFO | batch: 2400/2500 loss: 1.0078814029693604
2023-09-24 13:45:09,543 | train | INFO | --Val 0/10
2023-09-24 13:45:09,675 | train | INFO | batch: 0/125 loss: 0.6554902791976929
2023-09-24 13:45:15,686 | train | INFO | batch: 100/125 loss: 0.4765101671218872
2023-09-24 13:45:16,989 | train | INFO | Write row 0
2023-09-24 13:45:17,847 | train | INFO | Early stopper, counter 0/5, best:0.7665 -> now:0.7665
2023-09-24 13:45:17,847 | train | INFO | Set counter as 0
2023-09-24 13:45:17,847 | train | INFO | Update best score as 0.7665
2023-09-24 13:45:18,197 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230924_223543/model.pt
2023-09-24 13:45:18,197 | train | INFO | --Train 1/10
2023-09-24 13:45:18,527 | train | INFO | batch: 0/2500 loss: 0.4072244465351105
2023-09-24 13:45:40,581 | train | INFO | batch: 100/2500 loss: 0.5575093030929565
2023-09-24 13:46:02,679 | train | INFO | batch: 200/2500 loss: 0.6141606569290161
2023-09-24 13:46:24,897 | train | INFO | batch: 300/2500 loss: 0.2591145634651184
2023-09-24 13:46:47,003 | train | INFO | batch: 400/2500 loss: 0.2681097090244293
2023-09-24 13:47:09,264 | train | INFO | batch: 500/2500 loss: 0.1415817141532898
2023-09-24 13:47:31,426 | train | INFO | batch: 600/2500 loss: 0.24857889115810394
2023-09-24 13:47:53,553 | train | INFO | batch: 700/2500 loss: 0.11634344607591629
2023-09-24 13:48:15,620 | train | INFO | batch: 800/2500 loss: 0.16374759376049042
2023-09-24 13:48:37,840 | train | INFO | batch: 900/2500 loss: 0.20878326892852783
2023-09-24 13:48:59,939 | train | INFO | batch: 1000/2500 loss: 0.24731740355491638
2023-09-24 13:49:22,153 | train | INFO | batch: 1100/2500 loss: 0.36263760924339294
2023-09-24 13:49:44,206 | train | INFO | batch: 1200/2500 loss: 0.36334872245788574
2023-09-24 13:50:06,402 | train | INFO | batch: 1300/2500 loss: 0.1548060029745102
2023-09-24 13:50:28,524 | train | INFO | batch: 1400/2500 loss: 0.09709847718477249
2023-09-24 13:50:50,704 | train | INFO | batch: 1500/2500 loss: 0.02897605299949646
2023-09-24 13:51:12,841 | train | INFO | batch: 1600/2500 loss: 0.08940471708774567
2023-09-24 13:51:34,975 | train | INFO | batch: 1700/2500 loss: 0.14621534943580627
2023-09-24 13:51:57,452 | train | INFO | batch: 1800/2500 loss: 0.30687084794044495
2023-09-24 13:52:19,647 | train | INFO | batch: 1900/2500 loss: 0.23988190293312073
2023-09-24 13:52:41,780 | train | INFO | batch: 2000/2500 loss: 0.05678963661193848
2023-09-24 13:53:03,892 | train | INFO | batch: 2100/2500 loss: 0.05111351236701012
2023-09-24 13:53:26,104 | train | INFO | batch: 2200/2500 loss: 0.11542211472988129
2023-09-24 13:53:48,167 | train | INFO | batch: 2300/2500 loss: 0.29168272018432617
2023-09-24 13:54:10,330 | train | INFO | batch: 2400/2500 loss: 0.6671139001846313
2023-09-24 13:54:32,344 | train | INFO | --Val 1/10
2023-09-24 13:54:32,470 | train | INFO | batch: 0/125 loss: 0.24962112307548523
2023-09-24 13:54:38,326 | train | INFO | batch: 100/125 loss: 0.5193221569061279
2023-09-24 13:54:39,780 | train | INFO | Write row 1
2023-09-24 13:54:40,518 | train | INFO | Early stopper, counter 0/5, best:0.833 -> now:0.833
2023-09-24 13:54:40,519 | train | INFO | Set counter as 0
2023-09-24 13:54:40,519 | train | INFO | Update best score as 0.833
2023-09-24 13:54:40,887 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230924_223543/model.pt
2023-09-24 13:54:40,887 | train | INFO | --Train 2/10
2023-09-24 13:54:41,216 | train | INFO | batch: 0/2500 loss: 0.016584593802690506
2023-09-24 13:55:03,303 | train | INFO | batch: 100/2500 loss: 0.38005098700523376
2023-09-24 13:55:25,499 | train | INFO | batch: 200/2500 loss: 0.05090247839689255
2023-09-24 13:55:47,667 | train | INFO | batch: 300/2500 loss: 0.10302060097455978
2023-09-24 13:56:09,866 | train | INFO | batch: 400/2500 loss: 0.4467901289463043
2023-09-24 13:56:31,989 | train | INFO | batch: 500/2500 loss: 0.07064998149871826
2023-09-24 13:56:54,046 | train | INFO | batch: 600/2500 loss: 0.04899369552731514
2023-09-24 13:57:16,136 | train | INFO | batch: 700/2500 loss: 0.14853182435035706
2023-09-24 13:57:38,267 | train | INFO | batch: 800/2500 loss: 0.08277053385972977
2023-09-24 13:58:00,481 | train | INFO | batch: 900/2500 loss: 0.008316313847899437
2023-09-24 13:58:22,553 | train | INFO | batch: 1000/2500 loss: 0.1669691950082779
2023-09-24 13:58:44,707 | train | INFO | batch: 1100/2500 loss: 0.047692447900772095
