2023-09-19 05:03:12,510 | train | INFO | Set Logger /content/results/train/20230919_140312
2023-09-19 05:03:12,535 | train | INFO | Load data, train:8000 val:2000
2023-09-19 05:03:20,649 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-19 05:03:20,651 | train | INFO | --Train 0/10
2023-09-19 05:03:28,772 | train | INFO | batch: 0/500 loss: 7.707110404968262
2023-09-19 05:03:49,762 | train | INFO | batch: 100/500 loss: 1.409096360206604
2023-09-19 05:04:10,989 | train | INFO | batch: 200/500 loss: 1.242522954940796
2023-09-19 05:04:32,341 | train | INFO | batch: 300/500 loss: 1.6236371994018555
2023-09-19 05:04:54,032 | train | INFO | batch: 400/500 loss: 1.1514694690704346
2023-09-19 05:05:15,782 | train | INFO | --Val 0/10
2023-09-19 05:05:15,915 | train | INFO | batch: 0/125 loss: 1.3465774059295654
2023-09-19 05:05:21,963 | train | INFO | batch: 100/125 loss: 1.2550688982009888
2023-09-19 05:05:23,416 | train | INFO | Write row 0
2023-09-19 05:05:24,308 | train | INFO | Early stopper, counter 0/5, best:0.501 -> now:0.501
2023-09-19 05:05:24,308 | train | INFO | Set counter as 0
2023-09-19 05:05:24,308 | train | INFO | Update best score as 0.501
2023-09-19 05:05:24,692 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230919_140312/model.pt
2023-09-19 05:05:24,692 | train | INFO | --Train 1/10
2023-09-19 05:05:25,007 | train | INFO | batch: 0/500 loss: 0.8145999312400818
2023-09-19 05:05:46,935 | train | INFO | batch: 100/500 loss: 0.7835715413093567
2023-09-19 05:06:08,926 | train | INFO | batch: 200/500 loss: 0.9120340943336487
2023-09-19 05:06:30,772 | train | INFO | batch: 300/500 loss: 1.139481782913208
2023-09-19 05:06:52,785 | train | INFO | batch: 400/500 loss: 1.0238604545593262
2023-09-19 05:07:14,491 | train | INFO | --Val 1/10
2023-09-19 05:07:14,627 | train | INFO | batch: 0/125 loss: 1.3230104446411133
