2023-10-06 08:20:51,239 | train | INFO | Set Logger /content/results/train/20231006_172051
2023-10-06 08:20:51,306 | train | INFO | Load data, train:50000 val:2000
2023-10-06 08:20:57,410 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-06 08:20:57,414 | train | INFO | --Train 0/20
2023-10-06 08:21:07,966 | train | INFO | batch: 0/391 loss: 8.38536262512207
2023-10-06 08:24:15,457 | train | INFO | batch: 100/391 loss: 1.1971381902694702
2023-10-06 08:27:31,520 | train | INFO | batch: 200/391 loss: 1.0449473857879639
2023-10-06 08:30:48,467 | train | INFO | batch: 300/391 loss: 1.0321006774902344
2023-10-06 08:33:45,021 | train | INFO | Write row 0
2023-10-06 08:33:46,071 | train | INFO | --Train 1/20
2023-10-06 08:33:48,485 | train | INFO | batch: 0/391 loss: 0.8118151426315308
2023-10-06 08:37:05,091 | train | INFO | batch: 100/391 loss: 0.5207474827766418
2023-10-06 08:40:21,598 | train | INFO | batch: 200/391 loss: 0.3545912504196167
2023-10-06 08:43:37,730 | train | INFO | batch: 300/391 loss: 0.2675136625766754
2023-10-06 08:46:34,294 | train | INFO | Write row 1
2023-10-06 08:46:35,047 | train | INFO | --Train 2/20
2023-10-06 08:46:37,433 | train | INFO | batch: 0/391 loss: 0.1542121320962906
2023-10-06 08:49:54,078 | train | INFO | batch: 100/391 loss: 0.10940351337194443
2023-10-06 08:53:10,702 | train | INFO | batch: 200/391 loss: 0.10468728840351105
2023-10-06 08:56:27,080 | train | INFO | batch: 300/391 loss: 0.09358741343021393
2023-10-06 08:59:23,538 | train | INFO | Write row 2
2023-10-06 08:59:24,299 | train | INFO | --Train 3/20
2023-10-06 08:59:26,690 | train | INFO | batch: 0/391 loss: 0.07323465496301651
2023-10-06 09:02:43,246 | train | INFO | batch: 100/391 loss: 0.05517328530550003
2023-10-06 09:05:59,630 | train | INFO | batch: 200/391 loss: 0.04638095945119858
2023-10-06 09:09:16,014 | train | INFO | batch: 300/391 loss: 0.08062216639518738
2023-10-06 09:12:12,432 | train | INFO | Write row 3
2023-10-06 09:12:13,246 | train | INFO | --Train 4/20
2023-10-06 09:12:15,844 | train | INFO | batch: 0/391 loss: 0.06161291152238846
2023-10-06 09:15:32,198 | train | INFO | batch: 100/391 loss: 0.08656802773475647
2023-10-06 09:18:48,267 | train | INFO | batch: 200/391 loss: 0.1337938755750656
2023-10-06 09:22:04,984 | train | INFO | batch: 300/391 loss: 0.04458674415946007
2023-10-06 09:25:01,836 | train | INFO | Write row 4
2023-10-06 09:25:02,642 | train | INFO | --Train 5/20
2023-10-06 09:25:05,079 | train | INFO | batch: 0/391 loss: 0.03184467554092407
2023-10-06 09:28:21,574 | train | INFO | batch: 100/391 loss: 0.057099562138319016
2023-10-06 09:31:38,102 | train | INFO | batch: 200/391 loss: 0.03645346686244011
2023-10-06 09:34:54,231 | train | INFO | batch: 300/391 loss: 0.03036796674132347
2023-10-06 09:37:50,873 | train | INFO | Write row 5
2023-10-06 09:37:51,709 | train | INFO | --Train 6/20
2023-10-06 09:37:54,104 | train | INFO | batch: 0/391 loss: 0.005869261920452118
2023-10-06 09:41:10,605 | train | INFO | batch: 100/391 loss: 0.0030815862119197845
2023-10-06 09:44:26,749 | train | INFO | batch: 200/391 loss: 0.02801389805972576
2023-10-06 09:47:43,568 | train | INFO | batch: 300/391 loss: 0.013913040049374104
2023-10-06 09:50:40,302 | train | INFO | Write row 6
2023-10-06 09:50:41,750 | train | INFO | --Train 7/20
2023-10-06 09:50:44,439 | train | INFO | batch: 0/391 loss: 0.024189025163650513
2023-10-06 09:54:00,961 | train | INFO | batch: 100/391 loss: 0.002212827792391181
2023-10-06 09:57:17,772 | train | INFO | batch: 200/391 loss: 0.0012871805811300874
2023-10-06 10:00:34,180 | train | INFO | batch: 300/391 loss: 0.0015923029277473688
2023-10-06 10:03:31,036 | train | INFO | Write row 7
2023-10-06 10:03:31,890 | train | INFO | --Train 8/20
2023-10-06 10:03:34,394 | train | INFO | batch: 0/391 loss: 0.0009894424583762884
2023-10-06 10:06:50,645 | train | INFO | batch: 100/391 loss: 0.01739594154059887
2023-10-06 10:10:06,890 | train | INFO | batch: 200/391 loss: 0.05681679770350456
2023-10-06 10:13:23,065 | train | INFO | batch: 300/391 loss: 0.0017562847351655364
2023-10-06 10:16:19,374 | train | INFO | Write row 8
2023-10-06 10:16:20,241 | train | INFO | --Train 9/20
2023-10-06 10:16:22,834 | train | INFO | batch: 0/391 loss: 0.0021690449211746454
2023-10-06 10:19:39,166 | train | INFO | batch: 100/391 loss: 0.03790534287691116
2023-10-06 10:22:55,597 | train | INFO | batch: 200/391 loss: 0.002958660712465644
2023-10-06 10:26:11,931 | train | INFO | batch: 300/391 loss: 0.0016673856880515814
2023-10-06 10:29:08,354 | train | INFO | Write row 9
2023-10-06 10:29:09,161 | train | INFO | --Train 10/20
2023-10-06 10:29:11,634 | train | INFO | batch: 0/391 loss: 0.0712442398071289
2023-10-06 10:32:28,208 | train | INFO | batch: 100/391 loss: 0.0008758536423556507
2023-10-06 10:35:44,939 | train | INFO | batch: 200/391 loss: 0.001335098990239203
2023-10-06 10:39:01,397 | train | INFO | batch: 300/391 loss: 0.0030532211530953646
2023-10-06 10:41:57,762 | train | INFO | Write row 10
2023-10-06 10:41:58,620 | train | INFO | --Train 11/20
2023-10-06 10:42:01,104 | train | INFO | batch: 0/391 loss: 0.0015050745569169521
2023-10-06 10:45:17,049 | train | INFO | batch: 100/391 loss: 0.006269621662795544
2023-10-06 10:48:33,384 | train | INFO | batch: 200/391 loss: 0.0015811643097549677
2023-10-06 10:51:49,985 | train | INFO | batch: 300/391 loss: 0.005778082180768251
2023-10-06 10:54:46,160 | train | INFO | Write row 11
2023-10-06 10:54:47,033 | train | INFO | --Train 12/20
2023-10-06 10:54:49,456 | train | INFO | batch: 0/391 loss: 0.002386237494647503
2023-10-06 10:58:06,387 | train | INFO | batch: 100/391 loss: 0.0011967513710260391
2023-10-06 11:01:22,589 | train | INFO | batch: 200/391 loss: 0.0004239417321514338
2023-10-06 11:04:38,982 | train | INFO | batch: 300/391 loss: 0.00421738438308239
2023-10-06 11:07:35,664 | train | INFO | Write row 12
2023-10-06 11:07:36,795 | train | INFO | --Train 13/20
