2023-09-19 14:29:52,179 | train | INFO | Set Logger /content/results/train/20230919_232952
2023-09-19 14:29:52,235 | train | INFO | Load data, train:56000 val:2000
2023-09-19 14:30:03,639 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-19 14:30:03,642 | train | INFO | --Train 0/20
2023-09-19 14:30:12,323 | train | INFO | batch: 0/3500 loss: 8.178112030029297
2023-09-19 14:30:21,457 | train | INFO | batch: 100/3500 loss: 1.1259140968322754
2023-09-19 14:30:30,594 | train | INFO | batch: 200/3500 loss: 1.4335682392120361
2023-09-19 14:30:39,714 | train | INFO | batch: 300/3500 loss: 1.482023000717163
2023-09-19 14:30:48,845 | train | INFO | batch: 400/3500 loss: 0.971909761428833
2023-09-19 14:30:57,970 | train | INFO | batch: 500/3500 loss: 1.270960807800293
2023-09-19 14:31:07,109 | train | INFO | batch: 600/3500 loss: 1.1906930208206177
2023-09-19 14:31:16,234 | train | INFO | batch: 700/3500 loss: 1.049514889717102
2023-09-19 14:31:25,451 | train | INFO | batch: 800/3500 loss: 0.9688168168067932
2023-09-19 14:31:34,581 | train | INFO | batch: 900/3500 loss: 0.853391706943512
2023-09-19 14:31:43,721 | train | INFO | batch: 1000/3500 loss: 1.2278767824172974
2023-09-19 14:31:52,851 | train | INFO | batch: 1100/3500 loss: 0.4878334403038025
2023-09-19 14:32:01,977 | train | INFO | batch: 1200/3500 loss: 1.2104767560958862
2023-09-19 14:32:11,128 | train | INFO | batch: 1300/3500 loss: 1.3996140956878662
2023-09-19 14:32:20,279 | train | INFO | batch: 1400/3500 loss: 0.7387546300888062
2023-09-19 14:32:29,421 | train | INFO | batch: 1500/3500 loss: 1.4881271123886108
2023-09-19 14:32:38,551 | train | INFO | batch: 1600/3500 loss: 0.9109550714492798
2023-09-19 14:32:47,675 | train | INFO | batch: 1700/3500 loss: 0.6031671762466431
2023-09-19 14:32:56,805 | train | INFO | batch: 1800/3500 loss: 0.59922856092453
2023-09-19 14:33:05,941 | train | INFO | batch: 1900/3500 loss: 0.48771223425865173
2023-09-19 14:33:15,087 | train | INFO | batch: 2000/3500 loss: 0.8345481157302856
2023-09-19 14:33:24,207 | train | INFO | batch: 2100/3500 loss: 0.4721442461013794
2023-09-19 14:33:33,329 | train | INFO | batch: 2200/3500 loss: 0.5292113423347473
2023-09-19 14:33:42,452 | train | INFO | batch: 2300/3500 loss: 0.6371147036552429
2023-09-19 14:33:51,579 | train | INFO | batch: 2400/3500 loss: 0.3435908555984497
2023-09-19 14:34:00,702 | train | INFO | batch: 2500/3500 loss: 0.49308112263679504
2023-09-19 14:34:09,828 | train | INFO | batch: 2600/3500 loss: 0.35122159123420715
2023-09-19 14:34:18,967 | train | INFO | batch: 2700/3500 loss: 0.599769115447998
2023-09-19 14:34:28,139 | train | INFO | batch: 2800/3500 loss: 0.5956422090530396
2023-09-19 14:34:37,279 | train | INFO | batch: 2900/3500 loss: 0.23059633374214172
2023-09-19 14:34:46,409 | train | INFO | batch: 3000/3500 loss: 0.7354986667633057
2023-09-19 14:34:55,573 | train | INFO | batch: 3100/3500 loss: 0.11062391847372055
2023-09-19 14:35:04,724 | train | INFO | batch: 3200/3500 loss: 0.21877989172935486
2023-09-19 14:35:13,858 | train | INFO | batch: 3300/3500 loss: 0.20511963963508606
2023-09-19 14:35:22,996 | train | INFO | batch: 3400/3500 loss: 0.12707936763763428
2023-09-19 14:35:32,223 | train | INFO | --Val 0/20
2023-09-19 14:35:32,335 | train | INFO | batch: 0/125 loss: 0.393523633480072
2023-09-19 14:35:35,047 | train | INFO | batch: 100/125 loss: 0.1750769019126892
2023-09-19 14:35:35,677 | train | INFO | Write row 0
2023-09-19 14:35:36,396 | train | INFO | Early stopper, counter 0/5, best:0.804 -> now:0.804
2023-09-19 14:35:36,396 | train | INFO | Set counter as 0
2023-09-19 14:35:36,396 | train | INFO | Update best score as 0.804
2023-09-19 14:35:36,645 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230919_232952/model.pt
2023-09-19 14:35:36,646 | train | INFO | --Train 1/20
2023-09-19 14:35:36,841 | train | INFO | batch: 0/3500 loss: 0.2732067406177521
2023-09-19 14:35:45,987 | train | INFO | batch: 100/3500 loss: 0.0632086843252182
2023-09-19 14:35:55,150 | train | INFO | batch: 200/3500 loss: 0.3144983649253845
2023-09-19 14:36:04,309 | train | INFO | batch: 300/3500 loss: 0.3212592899799347
2023-09-19 14:36:13,477 | train | INFO | batch: 400/3500 loss: 0.5158762335777283
2023-09-19 14:36:22,670 | train | INFO | batch: 500/3500 loss: 0.07795852422714233
2023-09-19 14:36:31,841 | train | INFO | batch: 600/3500 loss: 0.556535005569458
2023-09-19 14:36:40,998 | train | INFO | batch: 700/3500 loss: 0.24735592305660248
2023-09-19 14:36:50,153 | train | INFO | batch: 800/3500 loss: 0.15793809294700623
2023-09-19 14:36:59,324 | train | INFO | batch: 900/3500 loss: 0.022090472280979156
2023-09-19 14:37:08,497 | train | INFO | batch: 1000/3500 loss: 0.5831170678138733
2023-09-19 14:37:17,683 | train | INFO | batch: 1100/3500 loss: 0.023983974009752274
2023-09-19 14:37:26,890 | train | INFO | batch: 1200/3500 loss: 0.1124289333820343
2023-09-19 14:37:36,069 | train | INFO | batch: 1300/3500 loss: 0.06871409714221954
2023-09-19 14:37:45,244 | train | INFO | batch: 1400/3500 loss: 0.04086647182703018
2023-09-19 14:37:54,405 | train | INFO | batch: 1500/3500 loss: 0.2980247735977173
2023-09-19 14:38:03,578 | train | INFO | batch: 1600/3500 loss: 0.020774846896529198
2023-09-19 14:38:12,756 | train | INFO | batch: 1700/3500 loss: 0.12964074313640594
2023-09-19 14:38:21,958 | train | INFO | batch: 1800/3500 loss: 0.11054983735084534
2023-09-19 14:38:31,141 | train | INFO | batch: 1900/3500 loss: 0.023274295032024384
2023-09-19 14:38:40,322 | train | INFO | batch: 2000/3500 loss: 0.1406610757112503
2023-09-19 14:38:49,502 | train | INFO | batch: 2100/3500 loss: 0.18852593004703522
2023-09-19 14:38:58,709 | train | INFO | batch: 2200/3500 loss: 0.03779686242341995
2023-09-19 14:39:07,884 | train | INFO | batch: 2300/3500 loss: 0.09119243919849396
2023-09-19 14:39:17,094 | train | INFO | batch: 2400/3500 loss: 0.264784574508667
2023-09-19 14:39:26,291 | train | INFO | batch: 2500/3500 loss: 0.3352970778942108
2023-09-19 14:39:35,505 | train | INFO | batch: 2600/3500 loss: 0.009826529771089554
