2023-10-02 14:41:50,639 | train | INFO | Set Logger /content/results/train/20231002_234150
2023-10-02 14:41:50,723 | train | INFO | Load data, train:100000
2023-10-02 14:41:52,883 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-02 14:41:52,886 | train | INFO | --Train 0/20
2023-10-02 14:41:55,675 | train | INFO | batch: 0/782 loss: 8.520086288452148
2023-10-02 14:43:05,201 | train | INFO | batch: 100/782 loss: 1.1537996530532837
2023-10-02 14:44:14,738 | train | INFO | batch: 200/782 loss: 1.0789995193481445
2023-10-02 14:45:24,417 | train | INFO | batch: 300/782 loss: 0.9118328094482422
2023-10-02 14:46:34,044 | train | INFO | batch: 400/782 loss: 0.7963980436325073
2023-10-02 14:47:43,665 | train | INFO | batch: 500/782 loss: 0.436106413602829
2023-10-02 14:48:53,247 | train | INFO | batch: 600/782 loss: 0.33845940232276917
2023-10-02 14:50:02,829 | train | INFO | batch: 700/782 loss: 0.44072338938713074
2023-10-02 14:50:59,034 | train | INFO | Write row 0
2023-10-02 14:50:59,849 | train | INFO | --Train 1/20
2023-10-02 14:51:01,015 | train | INFO | batch: 0/782 loss: 0.28855085372924805
2023-10-02 14:52:10,766 | train | INFO | batch: 100/782 loss: 0.21991288661956787
2023-10-02 14:53:20,491 | train | INFO | batch: 200/782 loss: 0.15131212770938873
2023-10-02 14:54:30,333 | train | INFO | batch: 300/782 loss: 0.2273729145526886
2023-10-02 14:55:40,093 | train | INFO | batch: 400/782 loss: 0.17298553884029388
2023-10-02 14:56:49,834 | train | INFO | batch: 500/782 loss: 0.1921987533569336
2023-10-02 14:57:59,600 | train | INFO | batch: 600/782 loss: 0.17539308965206146
2023-10-02 14:59:09,393 | train | INFO | batch: 700/782 loss: 0.143743634223938
2023-10-02 15:00:05,721 | train | INFO | Write row 1
2023-10-02 15:00:06,416 | train | INFO | --Train 2/20
2023-10-02 15:00:07,573 | train | INFO | batch: 0/782 loss: 0.09109468758106232
2023-10-02 15:01:17,457 | train | INFO | batch: 100/782 loss: 0.12495288252830505
