2023-09-28 19:34:18,061 | train | INFO | Set Logger /content/results/train/20230929_043418
2023-09-28 19:34:18,188 | train | INFO | Load data, train:100000
2023-09-28 19:34:24,596 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-28 19:34:24,599 | train | INFO | --Train 0/20
2023-09-28 19:34:32,990 | train | INFO | batch: 0/6250 loss: 8.726387977600098
2023-09-28 19:34:53,821 | train | INFO | batch: 100/6250 loss: 1.3103333711624146
2023-09-28 19:35:14,947 | train | INFO | batch: 200/6250 loss: 1.3173761367797852
2023-09-28 19:35:36,235 | train | INFO | batch: 300/6250 loss: 1.4956767559051514
2023-09-28 19:35:57,459 | train | INFO | batch: 400/6250 loss: 1.352267861366272
2023-09-28 19:36:18,964 | train | INFO | batch: 500/6250 loss: 0.970819890499115
2023-09-28 19:36:40,805 | train | INFO | batch: 600/6250 loss: 1.3170888423919678
2023-09-28 19:37:02,704 | train | INFO | batch: 700/6250 loss: 0.8066632747650146
2023-09-28 19:37:24,308 | train | INFO | batch: 800/6250 loss: 0.9995777606964111
2023-09-28 19:37:46,085 | train | INFO | batch: 900/6250 loss: 1.3888928890228271
2023-09-28 19:38:07,772 | train | INFO | batch: 1000/6250 loss: 1.1186614036560059
2023-09-28 19:38:29,542 | train | INFO | batch: 1100/6250 loss: 1.1327476501464844
2023-09-28 19:38:51,203 | train | INFO | batch: 1200/6250 loss: 1.2354391813278198
2023-09-28 19:39:12,932 | train | INFO | batch: 1300/6250 loss: 1.155227780342102
2023-09-28 19:39:34,576 | train | INFO | batch: 1400/6250 loss: 1.33797287940979
2023-09-28 19:39:56,370 | train | INFO | batch: 1500/6250 loss: 0.810702383518219
2023-09-28 19:40:17,942 | train | INFO | batch: 1600/6250 loss: 0.8298755288124084
2023-09-28 19:40:39,633 | train | INFO | batch: 1700/6250 loss: 0.6835047006607056
2023-09-28 19:41:01,265 | train | INFO | batch: 1800/6250 loss: 0.635755717754364
2023-09-28 19:41:22,978 | train | INFO | batch: 1900/6250 loss: 1.0926392078399658
2023-09-28 19:41:44,660 | train | INFO | batch: 2000/6250 loss: 0.7568682432174683
2023-09-28 19:42:06,157 | train | INFO | batch: 2100/6250 loss: 0.7149799466133118
2023-09-28 19:42:27,929 | train | INFO | batch: 2200/6250 loss: 0.8226433992385864
2023-09-28 19:42:49,493 | train | INFO | batch: 2300/6250 loss: 0.7514976859092712
2023-09-28 19:43:11,240 | train | INFO | batch: 2400/6250 loss: 0.6615111827850342
2023-09-28 19:43:32,849 | train | INFO | batch: 2500/6250 loss: 0.3619743585586548
2023-09-28 19:43:54,638 | train | INFO | batch: 2600/6250 loss: 0.5546196699142456
2023-09-28 19:44:16,262 | train | INFO | batch: 2700/6250 loss: 0.3115974962711334
2023-09-28 19:44:37,935 | train | INFO | batch: 2800/6250 loss: 0.8055729269981384
2023-09-28 19:44:59,759 | train | INFO | batch: 2900/6250 loss: 0.40733441710472107
2023-09-28 19:45:21,500 | train | INFO | batch: 3000/6250 loss: 0.4296437203884125
2023-09-28 19:45:43,144 | train | INFO | batch: 3100/6250 loss: 0.3754740059375763
2023-09-28 19:46:04,868 | train | INFO | batch: 3200/6250 loss: 0.2749398350715637
2023-09-28 19:46:26,474 | train | INFO | batch: 3300/6250 loss: 0.20655883848667145
2023-09-28 19:46:48,274 | train | INFO | batch: 3400/6250 loss: 0.3361201882362366
2023-09-28 19:47:09,863 | train | INFO | batch: 3500/6250 loss: 0.5003423690795898
2023-09-28 19:47:31,621 | train | INFO | batch: 3600/6250 loss: 0.37777793407440186
2023-09-28 19:47:53,255 | train | INFO | batch: 3700/6250 loss: 0.488402396440506
2023-09-28 19:48:15,055 | train | INFO | batch: 3800/6250 loss: 0.22365640103816986
2023-09-28 19:48:36,779 | train | INFO | batch: 3900/6250 loss: 0.25207215547561646
2023-09-28 19:48:58,524 | train | INFO | batch: 4000/6250 loss: 0.7509246468544006
2023-09-28 19:49:20,151 | train | INFO | batch: 4100/6250 loss: 0.8295411467552185
2023-09-28 19:49:41,915 | train | INFO | batch: 4200/6250 loss: 0.27977296710014343
2023-09-28 19:50:03,570 | train | INFO | batch: 4300/6250 loss: 0.2831404507160187
2023-09-28 19:50:25,318 | train | INFO | batch: 4400/6250 loss: 0.4702424108982086
2023-09-28 19:50:47,069 | train | INFO | batch: 4500/6250 loss: 0.29796168208122253
2023-09-28 19:51:08,817 | train | INFO | batch: 4600/6250 loss: 0.36985334753990173
2023-09-28 19:51:30,517 | train | INFO | batch: 4700/6250 loss: 0.17839618027210236
2023-09-28 19:51:52,258 | train | INFO | batch: 4800/6250 loss: 0.03598431125283241
2023-09-28 19:52:14,212 | train | INFO | batch: 4900/6250 loss: 0.549872875213623
2023-09-28 19:52:35,848 | train | INFO | batch: 5000/6250 loss: 0.4676424264907837
2023-09-28 19:52:57,688 | train | INFO | batch: 5100/6250 loss: 0.36081480979919434
2023-09-28 19:53:19,391 | train | INFO | batch: 5200/6250 loss: 0.5307067632675171
2023-09-28 19:53:41,164 | train | INFO | batch: 5300/6250 loss: 0.1919800490140915
2023-09-28 19:54:02,825 | train | INFO | batch: 5400/6250 loss: 0.17525291442871094
