2023-09-13 10:22:17,215 | train | INFO | Set Logger /content/results/train/20230913_192217
2023-09-13 10:22:17,239 | train | INFO | Load data, train:8000 val:2000
2023-09-13 10:22:24,724 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 10
2023-09-13 10:22:24,726 | train | INFO | --Train 0/20
2023-09-13 10:22:33,394 | train | INFO | batch: 0/500 loss: 1.6023043394088745
2023-09-13 10:22:56,052 | train | INFO | batch: 100/500 loss: 1.9896070957183838
2023-09-13 10:23:19,437 | train | INFO | batch: 200/500 loss: 1.1170073747634888
2023-09-13 10:23:43,311 | train | INFO | batch: 300/500 loss: 1.0903116464614868
2023-09-13 10:24:07,338 | train | INFO | batch: 400/500 loss: 1.0581833124160767
2023-09-13 10:24:31,782 | train | INFO | --Val 0/20
2023-09-13 10:24:31,937 | train | INFO | batch: 0/125 loss: 1.3208404779434204
2023-09-13 10:24:38,971 | train | INFO | batch: 100/125 loss: 0.9689027070999146
2023-09-13 10:24:40,858 | train | INFO | Write row 0
2023-09-13 10:24:41,706 | train | INFO | Early stopper, counter 0/10, best:0.53 -> now:0.53
2023-09-13 10:24:41,706 | train | INFO | Set counter as 0
2023-09-13 10:24:41,706 | train | INFO | Update best score as 0.53
2023-09-13 10:24:42,368 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230913_192217/model.pt
2023-09-13 10:24:42,369 | train | INFO | --Train 1/20
2023-09-13 10:24:42,725 | train | INFO | batch: 0/500 loss: 1.3410736322402954
2023-09-13 10:25:07,746 | train | INFO | batch: 100/500 loss: 1.0736397504806519
2023-09-13 10:25:32,316 | train | INFO | batch: 200/500 loss: 0.9556853771209717
2023-09-13 10:25:56,927 | train | INFO | batch: 300/500 loss: 1.258907437324524
2023-09-13 10:26:21,706 | train | INFO | batch: 400/500 loss: 0.5259792804718018
2023-09-13 10:26:46,277 | train | INFO | --Val 1/20
2023-09-13 10:26:46,499 | train | INFO | batch: 0/125 loss: 1.4816640615463257
2023-09-13 10:26:53,400 | train | INFO | batch: 100/125 loss: 0.675092339515686
2023-09-13 10:26:55,044 | train | INFO | Write row 1
2023-09-13 10:26:55,772 | train | INFO | Early stopper, counter 0/10, best:0.633 -> now:0.633
2023-09-13 10:26:55,772 | train | INFO | Set counter as 0
2023-09-13 10:26:55,772 | train | INFO | Update best score as 0.633
