2023-09-15 05:16:02,353 | train | INFO | Set Logger /content/results/train/20230915_141602
2023-09-15 05:16:02,385 | train | INFO | Load data, train:40000 val:2000
2023-09-15 05:16:14,065 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-15 05:16:14,067 | train | INFO | --Train 0/20
2023-09-15 05:16:15,619 | train | INFO | batch: 0/2500 loss: 8.440515518188477
2023-09-15 05:16:24,756 | train | INFO | batch: 100/2500 loss: 1.2195833921432495
2023-09-15 05:16:33,867 | train | INFO | batch: 200/2500 loss: 1.4827930927276611
2023-09-15 05:16:42,986 | train | INFO | batch: 300/2500 loss: 1.550822138786316
2023-09-15 05:16:52,086 | train | INFO | batch: 400/2500 loss: 1.213302493095398
2023-09-15 05:17:01,205 | train | INFO | batch: 500/2500 loss: 1.178470492362976
2023-09-15 05:17:10,311 | train | INFO | batch: 600/2500 loss: 1.3528445959091187
2023-09-15 05:17:19,438 | train | INFO | batch: 700/2500 loss: 0.7465674877166748
2023-09-15 05:17:28,694 | train | INFO | batch: 800/2500 loss: 1.2229275703430176
2023-09-15 05:17:37,842 | train | INFO | batch: 900/2500 loss: 1.0571653842926025
2023-09-15 05:17:46,986 | train | INFO | batch: 1000/2500 loss: 0.5273194909095764
2023-09-15 05:17:56,100 | train | INFO | batch: 1100/2500 loss: 0.9562315940856934
2023-09-15 05:18:05,280 | train | INFO | batch: 1200/2500 loss: 1.1115485429763794
2023-09-15 05:18:14,426 | train | INFO | batch: 1300/2500 loss: 0.9018244743347168
2023-09-15 05:18:23,546 | train | INFO | batch: 1400/2500 loss: 0.624226450920105
2023-09-15 05:18:32,666 | train | INFO | batch: 1500/2500 loss: 1.0648202896118164
2023-09-15 05:18:41,791 | train | INFO | batch: 1600/2500 loss: 0.5435261726379395
2023-09-15 05:18:50,920 | train | INFO | batch: 1700/2500 loss: 0.5299879908561707
2023-09-15 05:19:00,050 | train | INFO | batch: 1800/2500 loss: 0.4149412512779236
2023-09-15 05:19:09,178 | train | INFO | batch: 1900/2500 loss: 0.680202066898346
2023-09-15 05:19:18,318 | train | INFO | batch: 2000/2500 loss: 0.49001944065093994
2023-09-15 05:19:27,437 | train | INFO | batch: 2100/2500 loss: 0.5059671998023987
2023-09-15 05:19:36,576 | train | INFO | batch: 2200/2500 loss: 0.5838432312011719
2023-09-15 05:19:45,705 | train | INFO | batch: 2300/2500 loss: 0.38019803166389465
2023-09-15 05:19:54,835 | train | INFO | batch: 2400/2500 loss: 0.9092548489570618
2023-09-15 05:20:04,005 | train | INFO | --Val 0/20
2023-09-15 05:20:04,104 | train | INFO | batch: 0/125 loss: 0.6698266267776489
2023-09-15 05:20:06,591 | train | INFO | batch: 100/125 loss: 0.5535628199577332
2023-09-15 05:20:07,227 | train | INFO | Write row 0
2023-09-15 05:20:08,003 | train | INFO | Early stopper, counter 0/5, best:0.753 -> now:0.753
2023-09-15 05:20:08,003 | train | INFO | Set counter as 0
2023-09-15 05:20:08,004 | train | INFO | Update best score as 0.753
2023-09-15 05:20:08,264 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230915_141602/model.pt
2023-09-15 05:20:08,264 | train | INFO | --Train 1/20
2023-09-15 05:20:08,481 | train | INFO | batch: 0/2500 loss: 0.32265299558639526
2023-09-15 05:20:17,626 | train | INFO | batch: 100/2500 loss: 0.40470385551452637
2023-09-15 05:20:26,783 | train | INFO | batch: 200/2500 loss: 0.3697635233402252
2023-09-15 05:20:35,934 | train | INFO | batch: 300/2500 loss: 0.36042192578315735
2023-09-15 05:20:45,091 | train | INFO | batch: 400/2500 loss: 0.36561140418052673
2023-09-15 05:20:54,246 | train | INFO | batch: 500/2500 loss: 0.30105942487716675
2023-09-15 05:21:03,408 | train | INFO | batch: 600/2500 loss: 0.19604770839214325
2023-09-15 05:21:12,565 | train | INFO | batch: 700/2500 loss: 0.15866336226463318
2023-09-15 05:21:21,720 | train | INFO | batch: 800/2500 loss: 0.3494551181793213
2023-09-15 05:21:30,887 | train | INFO | batch: 900/2500 loss: 0.2161511927843094
2023-09-15 05:21:40,072 | train | INFO | batch: 1000/2500 loss: 0.39400795102119446
2023-09-15 05:21:49,260 | train | INFO | batch: 1100/2500 loss: 0.14965015649795532
2023-09-15 05:21:58,485 | train | INFO | batch: 1200/2500 loss: 0.20803196728229523
2023-09-15 05:22:07,687 | train | INFO | batch: 1300/2500 loss: 0.13766686618328094
2023-09-15 05:22:16,853 | train | INFO | batch: 1400/2500 loss: 0.05332474410533905
2023-09-15 05:22:26,028 | train | INFO | batch: 1500/2500 loss: 0.08233998715877533
2023-09-15 05:22:35,193 | train | INFO | batch: 1600/2500 loss: 0.21890956163406372
2023-09-15 05:22:44,373 | train | INFO | batch: 1700/2500 loss: 0.05006731301546097
2023-09-15 05:22:53,562 | train | INFO | batch: 1800/2500 loss: 0.10022404044866562
2023-09-15 05:23:02,770 | train | INFO | batch: 1900/2500 loss: 0.06533050537109375
2023-09-15 05:23:11,939 | train | INFO | batch: 2000/2500 loss: 0.10094031691551208
2023-09-15 05:23:21,100 | train | INFO | batch: 2100/2500 loss: 0.08969332277774811
2023-09-15 05:23:30,341 | train | INFO | batch: 2200/2500 loss: 0.02725721150636673
2023-09-15 05:23:39,526 | train | INFO | batch: 2300/2500 loss: 0.3950636088848114
2023-09-15 05:23:48,696 | train | INFO | batch: 2400/2500 loss: 0.35197144746780396
2023-09-15 05:23:57,915 | train | INFO | --Val 1/20
2023-09-15 05:23:58,025 | train | INFO | batch: 0/125 loss: 0.4762357473373413
2023-09-15 05:24:00,493 | train | INFO | batch: 100/125 loss: 0.50608891248703
2023-09-15 05:24:01,123 | train | INFO | Write row 1
2023-09-15 05:24:01,739 | train | INFO | Early stopper, counter 0/5, best:0.8375 -> now:0.8375
2023-09-15 05:24:01,739 | train | INFO | Set counter as 0
2023-09-15 05:24:01,739 | train | INFO | Update best score as 0.8375
2023-09-15 05:24:02,123 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230915_141602/model.pt
2023-09-15 05:24:02,124 | train | INFO | --Train 2/20
2023-09-15 05:24:02,340 | train | INFO | batch: 0/2500 loss: 0.014988933689892292
2023-09-15 05:24:11,530 | train | INFO | batch: 100/2500 loss: 0.47020915150642395
2023-09-15 05:24:20,711 | train | INFO | batch: 200/2500 loss: 0.20967228710651398
2023-09-15 05:24:29,899 | train | INFO | batch: 300/2500 loss: 0.10155484825372696
2023-09-15 05:24:39,070 | train | INFO | batch: 400/2500 loss: 0.10525713860988617
2023-09-15 05:24:48,261 | train | INFO | batch: 500/2500 loss: 0.27764782309532166
2023-09-15 05:24:57,455 | train | INFO | batch: 600/2500 loss: 0.11382638663053513
2023-09-15 05:25:06,645 | train | INFO | batch: 700/2500 loss: 0.5509343147277832
2023-09-15 05:25:15,836 | train | INFO | batch: 800/2500 loss: 0.40561506152153015
2023-09-15 05:25:25,027 | train | INFO | batch: 900/2500 loss: 0.03756183758378029
2023-09-15 05:25:34,215 | train | INFO | batch: 1000/2500 loss: 0.011063368059694767
2023-09-15 05:25:43,404 | train | INFO | batch: 1100/2500 loss: 0.06619595736265182
2023-09-15 05:25:52,607 | train | INFO | batch: 1200/2500 loss: 0.09208180010318756
2023-09-15 05:26:01,800 | train | INFO | batch: 1300/2500 loss: 0.19468925893306732
2023-09-15 05:26:10,982 | train | INFO | batch: 1400/2500 loss: 0.08442313969135284
2023-09-15 05:26:20,171 | train | INFO | batch: 1500/2500 loss: 0.12136043608188629
2023-09-15 05:26:29,373 | train | INFO | batch: 1600/2500 loss: 0.2162323296070099
2023-09-15 05:26:38,562 | train | INFO | batch: 1700/2500 loss: 0.008387790061533451
2023-09-15 05:26:47,821 | train | INFO | batch: 1800/2500 loss: 0.07905100286006927
2023-09-15 05:26:57,002 | train | INFO | batch: 1900/2500 loss: 0.007566120475530624
2023-09-15 05:27:06,200 | train | INFO | batch: 2000/2500 loss: 0.005680570378899574
2023-09-15 05:27:15,416 | train | INFO | batch: 2100/2500 loss: 0.12579679489135742
2023-09-15 05:27:24,647 | train | INFO | batch: 2200/2500 loss: 0.08036281168460846
2023-09-15 05:27:33,836 | train | INFO | batch: 2300/2500 loss: 0.03894896060228348
2023-09-15 05:27:43,048 | train | INFO | batch: 2400/2500 loss: 0.20106294751167297
2023-09-15 05:27:52,296 | train | INFO | --Val 2/20
2023-09-15 05:27:52,390 | train | INFO | batch: 0/125 loss: 0.4076850712299347
2023-09-15 05:27:54,753 | train | INFO | batch: 100/125 loss: 0.8753463625907898
2023-09-15 05:27:55,363 | train | INFO | Write row 2
2023-09-15 05:27:55,984 | train | INFO | Early stopper, counter 0/5, best:0.855 -> now:0.855
2023-09-15 05:27:55,985 | train | INFO | Set counter as 0
2023-09-15 05:27:55,985 | train | INFO | Update best score as 0.855
2023-09-15 05:27:56,482 | train | INFO | Recorder, epoch 2 Model saved: /content/results/train/20230915_141602/model.pt
2023-09-15 05:27:56,483 | train | INFO | --Train 3/20
2023-09-15 05:27:56,685 | train | INFO | batch: 0/2500 loss: 0.3660857379436493
2023-09-15 05:28:05,927 | train | INFO | batch: 100/2500 loss: 0.0019838253501802683
2023-09-15 05:28:15,133 | train | INFO | batch: 200/2500 loss: 0.031340111047029495
2023-09-15 05:28:24,320 | train | INFO | batch: 300/2500 loss: 0.04067033529281616
2023-09-15 05:28:33,521 | train | INFO | batch: 400/2500 loss: 0.021822912618517876
2023-09-15 05:28:42,708 | train | INFO | batch: 500/2500 loss: 0.13016915321350098
2023-09-15 05:28:51,884 | train | INFO | batch: 600/2500 loss: 0.18923288583755493
2023-09-15 05:29:01,094 | train | INFO | batch: 700/2500 loss: 0.009701873175799847
2023-09-15 05:29:10,321 | train | INFO | batch: 800/2500 loss: 0.10320352017879486
2023-09-15 05:29:19,518 | train | INFO | batch: 900/2500 loss: 0.10911443084478378
2023-09-15 05:29:28,720 | train | INFO | batch: 1000/2500 loss: 0.38326141238212585
2023-09-15 05:29:37,963 | train | INFO | batch: 1100/2500 loss: 0.24850869178771973
2023-09-15 05:29:47,159 | train | INFO | batch: 1200/2500 loss: 0.3017960786819458
2023-09-15 05:29:56,388 | train | INFO | batch: 1300/2500 loss: 0.003537938464432955
2023-09-15 05:30:05,584 | train | INFO | batch: 1400/2500 loss: 0.17637690901756287
2023-09-15 05:30:14,791 | train | INFO | batch: 1500/2500 loss: 0.3750550150871277
2023-09-15 05:30:23,986 | train | INFO | batch: 1600/2500 loss: 0.025008276104927063
2023-09-15 05:30:33,198 | train | INFO | batch: 1700/2500 loss: 0.10936017334461212
2023-09-15 05:30:42,416 | train | INFO | batch: 1800/2500 loss: 0.05518674850463867
2023-09-15 05:30:51,668 | train | INFO | batch: 1900/2500 loss: 0.07085499167442322
2023-09-15 05:31:00,885 | train | INFO | batch: 2000/2500 loss: 0.13398480415344238
2023-09-15 05:31:10,078 | train | INFO | batch: 2100/2500 loss: 0.1734951138496399
2023-09-15 05:31:19,280 | train | INFO | batch: 2200/2500 loss: 0.14924362301826477
2023-09-15 05:31:28,485 | train | INFO | batch: 2300/2500 loss: 0.09951909631490707
2023-09-15 05:31:37,702 | train | INFO | batch: 2400/2500 loss: 0.0039554075337946415
2023-09-15 05:31:46,929 | train | INFO | --Val 3/20
2023-09-15 05:31:47,032 | train | INFO | batch: 0/125 loss: 0.1009918749332428
2023-09-15 05:31:49,367 | train | INFO | batch: 100/125 loss: 0.6571459174156189
2023-09-15 05:31:49,985 | train | INFO | Write row 3
2023-09-15 05:31:50,591 | train | INFO | Early stopper, counter 0/5, best:0.867 -> now:0.867
2023-09-15 05:31:50,591 | train | INFO | Set counter as 0
2023-09-15 05:31:50,591 | train | INFO | Update best score as 0.867
2023-09-15 05:31:50,985 | train | INFO | Recorder, epoch 3 Model saved: /content/results/train/20230915_141602/model.pt
2023-09-15 05:31:50,985 | train | INFO | --Train 4/20
2023-09-15 05:31:51,188 | train | INFO | batch: 0/2500 loss: 0.0209018737077713
2023-09-15 05:32:00,398 | train | INFO | batch: 100/2500 loss: 0.004691144917160273
2023-09-15 05:32:09,614 | train | INFO | batch: 200/2500 loss: 0.015477021224796772
2023-09-15 05:32:18,850 | train | INFO | batch: 300/2500 loss: 0.15162405371665955
2023-09-15 05:32:28,075 | train | INFO | batch: 400/2500 loss: 0.007461520377546549
2023-09-15 05:32:37,271 | train | INFO | batch: 500/2500 loss: 0.010041819885373116
2023-09-15 05:32:46,481 | train | INFO | batch: 600/2500 loss: 0.031248871237039566
2023-09-15 05:32:55,680 | train | INFO | batch: 700/2500 loss: 0.012071564793586731
2023-09-15 05:33:04,906 | train | INFO | batch: 800/2500 loss: 0.017295366153120995
2023-09-15 05:33:14,097 | train | INFO | batch: 900/2500 loss: 0.11957991123199463
2023-09-15 05:33:23,341 | train | INFO | batch: 1000/2500 loss: 0.11041382700204849
2023-09-15 05:33:32,563 | train | INFO | batch: 1100/2500 loss: 0.2210909128189087
2023-09-15 05:33:41,782 | train | INFO | batch: 1200/2500 loss: 0.17437995970249176
2023-09-15 05:33:50,986 | train | INFO | batch: 1300/2500 loss: 0.12588125467300415
2023-09-15 05:34:00,184 | train | INFO | batch: 1400/2500 loss: 0.3280014097690582
2023-09-15 05:34:09,399 | train | INFO | batch: 1500/2500 loss: 0.007316991686820984
2023-09-15 05:34:18,618 | train | INFO | batch: 1600/2500 loss: 0.004065410234034061
2023-09-15 05:34:27,814 | train | INFO | batch: 1700/2500 loss: 0.11914867162704468
2023-09-15 05:34:37,023 | train | INFO | batch: 1800/2500 loss: 0.12463276833295822
2023-09-15 05:34:46,241 | train | INFO | batch: 1900/2500 loss: 0.005043122451752424
2023-09-15 05:34:55,583 | train | INFO | batch: 2000/2500 loss: 0.030466563999652863
