2023-09-19 08:27:26,558 | train | INFO | Set Logger /content/results/train/20230919_172726
2023-09-19 08:27:26,636 | train | INFO | Load data, train:56000 val:2000
2023-09-19 08:27:32,792 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-19 08:27:32,795 | train | INFO | --Train 0/10
2023-09-19 08:27:41,609 | train | INFO | batch: 0/3500 loss: 8.12342643737793
2023-09-19 08:27:47,329 | train | INFO | batch: 100/3500 loss: 1.544683814048767
2023-09-19 08:27:55,667 | train | INFO | batch: 200/3500 loss: 1.3704168796539307
2023-09-19 08:28:01,895 | train | INFO | batch: 300/3500 loss: 1.6250877380371094
2023-09-19 08:28:09,460 | train | INFO | batch: 400/3500 loss: 1.2843308448791504
2023-09-19 08:28:15,716 | train | INFO | batch: 500/3500 loss: 1.5237326622009277
2023-09-19 08:28:22,446 | train | INFO | batch: 600/3500 loss: 1.2168991565704346
2023-09-19 08:28:29,600 | train | INFO | batch: 700/3500 loss: 1.1749881505966187
2023-09-19 08:28:35,858 | train | INFO | batch: 800/3500 loss: 1.5776499509811401
2023-09-19 08:28:43,644 | train | INFO | batch: 900/3500 loss: 1.1682490110397339
2023-09-19 08:28:49,621 | train | INFO | batch: 1000/3500 loss: 1.5141041278839111
2023-09-19 08:28:57,665 | train | INFO | batch: 1100/3500 loss: 1.0247858762741089
2023-09-19 08:29:03,542 | train | INFO | batch: 1200/3500 loss: 1.4941002130508423
2023-09-19 08:29:11,538 | train | INFO | batch: 1300/3500 loss: 0.8010379672050476
2023-09-19 08:29:17,437 | train | INFO | batch: 1400/3500 loss: 1.1166146993637085
2023-09-19 08:29:25,380 | train | INFO | batch: 1500/3500 loss: 0.6907081604003906
2023-09-19 08:29:31,442 | train | INFO | batch: 1600/3500 loss: 1.2998124361038208
2023-09-19 08:29:39,193 | train | INFO | batch: 1700/3500 loss: 1.1916613578796387
2023-09-19 08:29:45,221 | train | INFO | batch: 1800/3500 loss: 0.7578282356262207
2023-09-19 08:29:52,495 | train | INFO | batch: 1900/3500 loss: 0.5485655665397644
2023-09-19 08:29:59,235 | train | INFO | batch: 2000/3500 loss: 1.1092313528060913
2023-09-19 08:30:05,749 | train | INFO | batch: 2100/3500 loss: 0.9648292064666748
2023-09-19 08:30:13,058 | train | INFO | batch: 2200/3500 loss: 0.360492467880249
2023-09-19 08:30:18,926 | train | INFO | batch: 2300/3500 loss: 0.8538311123847961
2023-09-19 08:30:26,787 | train | INFO | batch: 2400/3500 loss: 0.5614994764328003
2023-09-19 08:30:32,748 | train | INFO | batch: 2500/3500 loss: 0.2303314507007599
2023-09-19 08:30:41,016 | train | INFO | batch: 2600/3500 loss: 0.6023173332214355
2023-09-19 08:30:47,279 | train | INFO | batch: 2700/3500 loss: 0.7602466940879822
2023-09-19 08:30:55,724 | train | INFO | batch: 2800/3500 loss: 0.4927147328853607
2023-09-19 08:31:02,039 | train | INFO | batch: 2900/3500 loss: 0.40756359696388245
2023-09-19 08:31:10,429 | train | INFO | batch: 3000/3500 loss: 0.5537856817245483
2023-09-19 08:31:16,799 | train | INFO | batch: 3100/3500 loss: 0.38046056032180786
2023-09-19 08:31:25,251 | train | INFO | batch: 3200/3500 loss: 0.7709200382232666
2023-09-19 08:31:31,538 | train | INFO | batch: 3300/3500 loss: 0.13200563192367554
2023-09-19 08:31:40,089 | train | INFO | batch: 3400/3500 loss: 0.5473260283470154
2023-09-19 08:31:46,594 | train | INFO | --Val 0/10
2023-09-19 08:31:46,730 | train | INFO | batch: 0/125 loss: 0.7660955190658569
2023-09-19 08:31:51,054 | train | INFO | batch: 100/125 loss: 0.46672460436820984
2023-09-19 08:31:52,621 | train | INFO | Write row 0
2023-09-19 08:31:54,142 | train | INFO | Early stopper, counter 0/5, best:0.78 -> now:0.78
2023-09-19 08:31:54,142 | train | INFO | Set counter as 0
2023-09-19 08:31:54,142 | train | INFO | Update best score as 0.78
2023-09-19 08:31:54,247 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230919_172726/model.pt
2023-09-19 08:31:54,247 | train | INFO | --Train 1/10
2023-09-19 08:31:54,431 | train | INFO | batch: 0/3500 loss: 0.4364655017852783
2023-09-19 08:32:01,051 | train | INFO | batch: 100/3500 loss: 0.5540854930877686
2023-09-19 08:32:12,359 | train | INFO | batch: 200/3500 loss: 0.13559302687644958
2023-09-19 08:32:21,401 | train | INFO | batch: 300/3500 loss: 0.6168308854103088
2023-09-19 08:32:29,260 | train | INFO | batch: 400/3500 loss: 0.07876075804233551
2023-09-19 08:32:40,685 | train | INFO | batch: 500/3500 loss: 0.45730212330818176
2023-09-19 08:32:46,986 | train | INFO | batch: 600/3500 loss: 0.291534960269928
2023-09-19 08:32:55,246 | train | INFO | batch: 700/3500 loss: 0.24642321467399597
2023-09-19 08:33:01,534 | train | INFO | batch: 800/3500 loss: 0.16539372503757477
2023-09-19 08:33:09,695 | train | INFO | batch: 900/3500 loss: 0.22828565537929535
2023-09-19 08:33:16,117 | train | INFO | batch: 1000/3500 loss: 0.44607505202293396
2023-09-19 08:33:23,993 | train | INFO | batch: 1100/3500 loss: 0.035184815526008606
2023-09-19 08:33:30,666 | train | INFO | batch: 1200/3500 loss: 0.15998727083206177
2023-09-19 08:33:38,152 | train | INFO | batch: 1300/3500 loss: 0.15369005501270294
2023-09-19 08:33:45,393 | train | INFO | batch: 1400/3500 loss: 0.13244126737117767
2023-09-19 08:33:53,645 | train | INFO | batch: 1500/3500 loss: 0.31091731786727905
2023-09-19 08:34:00,712 | train | INFO | batch: 1600/3500 loss: 0.18415388464927673
2023-09-19 08:34:08,168 | train | INFO | batch: 1700/3500 loss: 0.04071110859513283
2023-09-19 08:34:15,309 | train | INFO | batch: 1800/3500 loss: 0.2031751573085785
2023-09-19 08:34:22,684 | train | INFO | batch: 1900/3500 loss: 0.15956656634807587
2023-09-19 08:34:30,785 | train | INFO | batch: 2000/3500 loss: 0.07342160493135452
2023-09-19 08:34:38,021 | train | INFO | batch: 2100/3500 loss: 0.26828181743621826
2023-09-19 08:34:45,414 | train | INFO | batch: 2200/3500 loss: 0.021688207983970642
2023-09-19 08:34:52,270 | train | INFO | batch: 2300/3500 loss: 0.27446994185447693
2023-09-19 08:35:00,077 | train | INFO | batch: 2400/3500 loss: 0.2629309296607971
2023-09-19 08:35:06,680 | train | INFO | batch: 2500/3500 loss: 0.3942726254463196
2023-09-19 08:35:15,136 | train | INFO | batch: 2600/3500 loss: 0.146757572889328
2023-09-19 08:35:22,393 | train | INFO | batch: 2700/3500 loss: 0.06570590287446976
2023-09-19 08:35:30,556 | train | INFO | batch: 2800/3500 loss: 0.12910200655460358
2023-09-19 08:35:37,513 | train | INFO | batch: 2900/3500 loss: 0.10779932886362076
2023-09-19 08:35:45,214 | train | INFO | batch: 3000/3500 loss: 0.20060259103775024
2023-09-19 08:35:51,480 | train | INFO | batch: 3100/3500 loss: 0.3124336004257202
2023-09-19 08:35:59,667 | train | INFO | batch: 3200/3500 loss: 0.22919143736362457
2023-09-19 08:36:05,914 | train | INFO | batch: 3300/3500 loss: 0.04027269780635834
2023-09-19 08:36:14,237 | train | INFO | batch: 3400/3500 loss: 0.18847697973251343
2023-09-19 08:36:20,440 | train | INFO | --Val 1/10
2023-09-19 08:36:20,561 | train | INFO | batch: 0/125 loss: 0.23842112720012665
2023-09-19 08:36:25,752 | train | INFO | batch: 100/125 loss: 0.7490895390510559
2023-09-19 08:36:26,612 | train | INFO | Write row 1
2023-09-19 08:36:27,439 | train | INFO | Early stopper, counter 0/5, best:0.845 -> now:0.845
2023-09-19 08:36:27,439 | train | INFO | Set counter as 0
2023-09-19 08:36:27,439 | train | INFO | Update best score as 0.845
2023-09-19 08:36:27,576 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230919_172726/model.pt
2023-09-19 08:36:27,577 | train | INFO | --Train 2/10
2023-09-19 08:36:27,769 | train | INFO | batch: 0/3500 loss: 0.016760535538196564
2023-09-19 08:36:33,993 | train | INFO | batch: 100/3500 loss: 0.19309642910957336
