2023-09-19 13:32:42,539 | train | INFO | Set Logger /content/results/train/20230919_223242
2023-09-19 13:32:42,580 | train | INFO | Load data, train:40000 val:2000
2023-09-19 13:32:48,369 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-19 13:32:48,372 | train | INFO | --Train 0/10
2023-09-19 13:32:56,360 | train | INFO | batch: 0/2500 loss: 8.402498245239258
2023-09-19 13:33:05,782 | train | INFO | batch: 100/2500 loss: 1.553729772567749
2023-09-19 13:33:14,769 | train | INFO | batch: 200/2500 loss: 1.2861192226409912
2023-09-19 13:33:23,904 | train | INFO | batch: 300/2500 loss: 1.152805209159851
2023-09-19 13:33:33,475 | train | INFO | batch: 400/2500 loss: 1.346502661705017
2023-09-19 13:33:42,278 | train | INFO | batch: 500/2500 loss: 1.342819333076477
2023-09-19 13:33:51,728 | train | INFO | batch: 600/2500 loss: 1.2897940874099731
2023-09-19 13:34:01,076 | train | INFO | batch: 700/2500 loss: 1.3135671615600586
2023-09-19 13:34:09,871 | train | INFO | batch: 800/2500 loss: 1.1778186559677124
2023-09-19 13:34:19,342 | train | INFO | batch: 900/2500 loss: 1.25730562210083
2023-09-19 13:34:28,434 | train | INFO | batch: 1000/2500 loss: 1.1767113208770752
2023-09-19 13:34:37,699 | train | INFO | batch: 1100/2500 loss: 1.061637043952942
2023-09-19 13:34:47,284 | train | INFO | batch: 1200/2500 loss: 0.8558622598648071
2023-09-19 13:34:56,238 | train | INFO | batch: 1300/2500 loss: 1.0366817712783813
2023-09-19 13:35:05,672 | train | INFO | batch: 1400/2500 loss: 0.6067525744438171
2023-09-19 13:35:15,301 | train | INFO | batch: 1500/2500 loss: 0.9043900370597839
2023-09-19 13:35:24,334 | train | INFO | batch: 1600/2500 loss: 0.8371882438659668
2023-09-19 13:35:33,909 | train | INFO | batch: 1700/2500 loss: 0.9603472352027893
2023-09-19 13:35:43,378 | train | INFO | batch: 1800/2500 loss: 0.44778624176979065
2023-09-19 13:35:52,599 | train | INFO | batch: 1900/2500 loss: 1.3085495233535767
2023-09-19 13:36:02,269 | train | INFO | batch: 2000/2500 loss: 0.9799526929855347
2023-09-19 13:36:11,589 | train | INFO | batch: 2100/2500 loss: 0.5622363090515137
2023-09-19 13:36:20,973 | train | INFO | batch: 2200/2500 loss: 1.0334311723709106
2023-09-19 13:36:30,666 | train | INFO | batch: 2300/2500 loss: 0.42940041422843933
2023-09-19 13:36:39,947 | train | INFO | batch: 2400/2500 loss: 0.26767444610595703
2023-09-19 13:36:49,396 | train | INFO | --Val 0/10
2023-09-19 13:36:49,509 | train | INFO | batch: 0/125 loss: 0.576938271522522
2023-09-19 13:36:52,817 | train | INFO | batch: 100/125 loss: 0.7362946271896362
2023-09-19 13:36:53,906 | train | INFO | Write row 0
2023-09-19 13:36:55,313 | train | INFO | Early stopper, counter 0/5, best:0.6965 -> now:0.6965
2023-09-19 13:36:55,313 | train | INFO | Set counter as 0
2023-09-19 13:36:55,313 | train | INFO | Update best score as 0.6965
2023-09-19 13:36:55,458 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230919_223242/model.pt
2023-09-19 13:36:55,459 | train | INFO | --Train 1/10
2023-09-19 13:36:55,776 | train | INFO | batch: 0/2500 loss: 0.37566879391670227
2023-09-19 13:37:05,079 | train | INFO | batch: 100/2500 loss: 0.4272557199001312
2023-09-19 13:37:14,757 | train | INFO | batch: 200/2500 loss: 0.6682711839675903
2023-09-19 13:37:24,073 | train | INFO | batch: 300/2500 loss: 0.24960146844387054
2023-09-19 13:37:33,533 | train | INFO | batch: 400/2500 loss: 0.4351474642753601
2023-09-19 13:37:43,306 | train | INFO | batch: 500/2500 loss: 0.24926307797431946
2023-09-19 13:37:52,575 | train | INFO | batch: 600/2500 loss: 0.6624480485916138
2023-09-19 13:38:02,312 | train | INFO | batch: 700/2500 loss: 0.1184844970703125
2023-09-19 13:38:12,131 | train | INFO | batch: 800/2500 loss: 0.5409542322158813
2023-09-19 13:38:21,455 | train | INFO | batch: 900/2500 loss: 0.3486909866333008
2023-09-19 13:38:31,218 | train | INFO | batch: 1000/2500 loss: 0.11274890601634979
2023-09-19 13:38:41,073 | train | INFO | batch: 1100/2500 loss: 0.5539026856422424
2023-09-19 13:38:50,350 | train | INFO | batch: 1200/2500 loss: 0.29450684785842896
2023-09-19 13:39:00,277 | train | INFO | batch: 1300/2500 loss: 0.23939499258995056
2023-09-19 13:39:10,154 | train | INFO | batch: 1400/2500 loss: 0.38160836696624756
2023-09-19 13:39:19,355 | train | INFO | batch: 1500/2500 loss: 0.33368027210235596
2023-09-19 13:39:29,098 | train | INFO | batch: 1600/2500 loss: 0.20217342674732208
2023-09-19 13:39:38,864 | train | INFO | batch: 1700/2500 loss: 0.2324989289045334
2023-09-19 13:39:48,080 | train | INFO | batch: 1800/2500 loss: 0.47312405705451965
2023-09-19 13:39:57,808 | train | INFO | batch: 1900/2500 loss: 0.49470752477645874
2023-09-19 13:40:07,370 | train | INFO | batch: 2000/2500 loss: 0.05676843225955963
2023-09-19 13:40:16,709 | train | INFO | batch: 2100/2500 loss: 0.095313161611557
2023-09-19 13:40:26,563 | train | INFO | batch: 2200/2500 loss: 0.36269715428352356
2023-09-19 13:40:36,037 | train | INFO | batch: 2300/2500 loss: 0.2715214788913727
2023-09-19 13:40:45,477 | train | INFO | batch: 2400/2500 loss: 0.3900338113307953
2023-09-19 13:40:55,302 | train | INFO | --Val 1/10
2023-09-19 13:40:55,412 | train | INFO | batch: 0/125 loss: 0.5525898933410645
2023-09-19 13:40:58,674 | train | INFO | batch: 100/125 loss: 0.540452778339386
2023-09-19 13:40:59,507 | train | INFO | Write row 1
2023-09-19 13:41:00,264 | train | INFO | Early stopper, counter 0/5, best:0.7945 -> now:0.7945
2023-09-19 13:41:00,264 | train | INFO | Set counter as 0
2023-09-19 13:41:00,264 | train | INFO | Update best score as 0.7945
2023-09-19 13:41:00,390 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230919_223242/model.pt
2023-09-19 13:41:00,391 | train | INFO | --Train 2/10
2023-09-19 13:41:00,581 | train | INFO | batch: 0/2500 loss: 0.05093415081501007
2023-09-19 13:41:10,383 | train | INFO | batch: 100/2500 loss: 0.3200666904449463
2023-09-19 13:41:19,918 | train | INFO | batch: 200/2500 loss: 0.15728342533111572
2023-09-19 13:41:29,366 | train | INFO | batch: 300/2500 loss: 0.14203888177871704
2023-09-19 13:41:39,234 | train | INFO | batch: 400/2500 loss: 0.2722983956336975
2023-09-19 13:41:48,725 | train | INFO | batch: 500/2500 loss: 0.05913856625556946
2023-09-19 13:41:58,163 | train | INFO | batch: 600/2500 loss: 0.018194109201431274
2023-09-19 13:42:07,831 | train | INFO | batch: 700/2500 loss: 0.09055261313915253
2023-09-19 13:42:17,256 | train | INFO | batch: 800/2500 loss: 0.30224180221557617
2023-09-19 13:42:26,745 | train | INFO | batch: 900/2500 loss: 0.0534881055355072
2023-09-19 13:42:36,429 | train | INFO | batch: 1000/2500 loss: 0.10237307846546173
2023-09-19 13:42:45,676 | train | INFO | batch: 1100/2500 loss: 0.2616627812385559
2023-09-19 13:42:55,314 | train | INFO | batch: 1200/2500 loss: 0.32610201835632324
2023-09-19 13:43:05,066 | train | INFO | batch: 1300/2500 loss: 0.04120787978172302
2023-09-19 13:43:14,232 | train | INFO | batch: 1400/2500 loss: 0.8445667028427124
2023-09-19 13:43:23,935 | train | INFO | batch: 1500/2500 loss: 0.033262982964515686
2023-09-19 13:43:33,674 | train | INFO | batch: 1600/2500 loss: 0.11947465687990189
2023-09-19 13:43:42,777 | train | INFO | batch: 1700/2500 loss: 0.2256162166595459
2023-09-19 13:43:52,526 | train | INFO | batch: 1800/2500 loss: 0.3659712076187134
2023-09-19 13:44:02,467 | train | INFO | batch: 1900/2500 loss: 0.1455461084842682
2023-09-19 13:44:11,631 | train | INFO | batch: 2000/2500 loss: 0.04723375663161278
2023-09-19 13:44:21,516 | train | INFO | batch: 2100/2500 loss: 0.0531947985291481
2023-09-19 13:44:31,312 | train | INFO | batch: 2200/2500 loss: 0.18465614318847656
2023-09-19 13:44:40,722 | train | INFO | batch: 2300/2500 loss: 0.19233976304531097
2023-09-19 13:44:50,561 | train | INFO | batch: 2400/2500 loss: 0.7262728810310364
2023-09-19 13:45:00,586 | train | INFO | --Val 2/10
