2023-09-15 09:42:10,473 | train | INFO | Set Logger /content/results/train/20230915_184210
2023-09-15 09:42:10,482 | train | INFO | Load data, train:8000 val:2000
2023-09-15 09:42:15,797 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-09-15 09:42:15,800 | train | INFO | --Train 0/10
2023-09-15 09:42:17,547 | train | INFO | batch: 0/1000 loss: 8.118247032165527
2023-09-15 09:42:42,353 | train | INFO | batch: 100/1000 loss: 1.556733250617981
2023-09-15 09:43:07,143 | train | INFO | batch: 200/1000 loss: 1.672464370727539
2023-09-15 09:43:31,964 | train | INFO | batch: 300/1000 loss: 1.2378965616226196
2023-09-15 09:43:56,801 | train | INFO | batch: 400/1000 loss: 1.0906672477722168
2023-09-15 09:44:21,664 | train | INFO | batch: 500/1000 loss: 1.1532317399978638
2023-09-15 09:44:46,533 | train | INFO | batch: 600/1000 loss: 1.7030454874038696
2023-09-15 09:45:11,408 | train | INFO | batch: 700/1000 loss: 1.3607794046401978
2023-09-15 09:45:36,301 | train | INFO | batch: 800/1000 loss: 1.3999794721603394
2023-09-15 09:46:01,182 | train | INFO | batch: 900/1000 loss: 1.034729242324829
2023-09-15 09:46:25,870 | train | INFO | --Val 0/10
2023-09-15 09:46:26,001 | train | INFO | batch: 0/250 loss: 1.4504785537719727
2023-09-15 09:46:32,310 | train | INFO | batch: 100/250 loss: 1.274064302444458
2023-09-15 09:46:38,605 | train | INFO | batch: 200/250 loss: 1.101022481918335
2023-09-15 09:46:41,733 | train | INFO | Write row 0
2023-09-15 09:46:42,607 | train | INFO | Early stopper, counter 0/5, best:0.4395 -> now:0.4395
2023-09-15 09:46:42,608 | train | INFO | Set counter as 0
2023-09-15 09:46:42,608 | train | INFO | Update best score as 0.4395
2023-09-15 09:46:48,049 | train | INFO | Recorder, epoch 0 Model saved: /content/results/train/20230915_184210/model.pt
2023-09-15 09:46:48,049 | train | INFO | --Train 1/10
2023-09-15 09:46:48,377 | train | INFO | batch: 0/1000 loss: 1.2164238691329956
2023-09-15 09:47:13,227 | train | INFO | batch: 100/1000 loss: 1.0049681663513184
2023-09-15 09:47:38,095 | train | INFO | batch: 200/1000 loss: 1.3802555799484253
2023-09-15 09:48:02,978 | train | INFO | batch: 300/1000 loss: 1.3463187217712402
2023-09-15 09:48:27,860 | train | INFO | batch: 400/1000 loss: 0.9468799233436584
2023-09-15 09:48:52,762 | train | INFO | batch: 500/1000 loss: 0.6750766038894653
2023-09-15 09:49:17,646 | train | INFO | batch: 600/1000 loss: 1.607211709022522
2023-09-15 09:49:42,687 | train | INFO | batch: 700/1000 loss: 0.8661484122276306
2023-09-15 09:50:07,594 | train | INFO | batch: 800/1000 loss: 1.334915041923523
2023-09-15 09:50:32,496 | train | INFO | batch: 900/1000 loss: 1.1178456544876099
2023-09-15 09:50:57,230 | train | INFO | --Val 1/10
2023-09-15 09:50:57,362 | train | INFO | batch: 0/250 loss: 1.3021032810211182
2023-09-15 09:51:03,660 | train | INFO | batch: 100/250 loss: 1.1768983602523804
2023-09-15 09:51:09,977 | train | INFO | batch: 200/250 loss: 0.36348140239715576
2023-09-15 09:51:13,117 | train | INFO | Write row 1
2023-09-15 09:51:13,789 | train | INFO | Early stopper, counter 0/5, best:0.598 -> now:0.598
2023-09-15 09:51:13,789 | train | INFO | Set counter as 0
2023-09-15 09:51:13,789 | train | INFO | Update best score as 0.598
2023-09-15 09:51:18,817 | train | INFO | Recorder, epoch 1 Model saved: /content/results/train/20230915_184210/model.pt
