2023-10-06 07:04:38,809 | train | INFO | Set Logger /content/results/train/20231006_160438
2023-10-06 07:04:38,850 | train | INFO | Load data, train:50000 val:2000
2023-10-06 07:04:40,956 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-06 07:04:40,959 | train | INFO | --Train 0/20
2023-10-06 07:04:45,177 | train | INFO | batch: 0/391 loss: 8.38536262512207
2023-10-06 07:07:58,773 | train | INFO | batch: 100/391 loss: 1.2287607192993164
2023-10-06 07:11:12,683 | train | INFO | batch: 200/391 loss: 1.0662404298782349
2023-10-06 07:14:26,504 | train | INFO | batch: 300/391 loss: 0.9691959619522095
2023-10-06 07:17:21,441 | train | INFO | Write row 0
2023-10-06 07:17:22,723 | train | INFO | --Train 1/20
2023-10-06 07:17:25,188 | train | INFO | batch: 0/391 loss: 0.6472160816192627
2023-10-06 07:20:39,134 | train | INFO | batch: 100/391 loss: 0.4457768499851227
2023-10-06 07:23:53,419 | train | INFO | batch: 200/391 loss: 0.33777886629104614
2023-10-06 07:27:07,831 | train | INFO | batch: 300/391 loss: 0.24085882306098938
2023-10-06 07:30:02,473 | train | INFO | Write row 1
2023-10-06 07:30:03,197 | train | INFO | --Train 2/20
2023-10-06 07:30:05,566 | train | INFO | batch: 0/391 loss: 0.14314071834087372
2023-10-06 07:33:19,704 | train | INFO | batch: 100/391 loss: 0.2049991935491562
2023-10-06 07:36:33,982 | train | INFO | batch: 200/391 loss: 0.16823872923851013
2023-10-06 07:39:48,090 | train | INFO | batch: 300/391 loss: 0.15471412241458893
2023-10-06 07:42:42,203 | train | INFO | Write row 2
2023-10-06 07:42:42,936 | train | INFO | --Train 3/20
2023-10-06 07:42:45,280 | train | INFO | batch: 0/391 loss: 0.08307434618473053
2023-10-06 07:45:59,490 | train | INFO | batch: 100/391 loss: 0.022018859162926674
2023-10-06 07:49:13,263 | train | INFO | batch: 200/391 loss: 0.039745450019836426
2023-10-06 07:52:27,199 | train | INFO | batch: 300/391 loss: 0.15106520056724548
2023-10-06 07:55:21,553 | train | INFO | Write row 3
2023-10-06 07:55:22,279 | train | INFO | --Train 4/20
2023-10-06 07:55:24,591 | train | INFO | batch: 0/391 loss: 0.057269610464572906
2023-10-06 07:58:38,815 | train | INFO | batch: 100/391 loss: 0.11505406349897385
2023-10-06 08:01:52,853 | train | INFO | batch: 200/391 loss: 0.035730186849832535
2023-10-06 08:05:06,810 | train | INFO | batch: 300/391 loss: 0.008349688723683357
2023-10-06 08:08:01,484 | train | INFO | Write row 4
2023-10-06 08:08:02,308 | train | INFO | --Train 5/20
2023-10-06 08:08:04,719 | train | INFO | batch: 0/391 loss: 0.006800866220146418
2023-10-06 08:11:19,041 | train | INFO | batch: 100/391 loss: 0.03495180606842041
2023-10-06 08:14:33,239 | train | INFO | batch: 200/391 loss: 0.03334537521004677
2023-10-06 08:17:47,095 | train | INFO | batch: 300/391 loss: 0.06173941120505333
2023-10-06 08:20:41,815 | train | INFO | Write row 5
2023-10-06 08:20:42,644 | train | INFO | --Train 6/20
2023-10-06 08:20:45,018 | train | INFO | batch: 0/391 loss: 0.03084424138069153
2023-10-06 08:23:57,699 | train | INFO | batch: 100/391 loss: 0.030559347942471504
2023-10-06 08:27:09,249 | train | INFO | batch: 200/391 loss: 0.04642296954989433
2023-10-06 08:30:20,966 | train | INFO | batch: 300/391 loss: 0.006013601552695036
2023-10-06 08:33:13,660 | train | INFO | Write row 6
2023-10-06 08:33:14,467 | train | INFO | --Train 7/20
2023-10-06 08:33:16,818 | train | INFO | batch: 0/391 loss: 0.030674852430820465
2023-10-06 08:36:28,069 | train | INFO | batch: 100/391 loss: 0.027235068380832672
2023-10-06 08:39:38,992 | train | INFO | batch: 200/391 loss: 0.0028532298747450113
2023-10-06 08:42:51,722 | train | INFO | batch: 300/391 loss: 0.025392087176442146
2023-10-06 08:45:46,635 | train | INFO | Write row 7
2023-10-06 08:45:47,879 | train | INFO | --Train 8/20
2023-10-06 08:45:50,599 | train | INFO | batch: 0/391 loss: 0.02378102019429207
2023-10-06 08:49:04,595 | train | INFO | batch: 100/391 loss: 0.01227939035743475
2023-10-06 08:52:18,518 | train | INFO | batch: 200/391 loss: 0.03985157236456871
2023-10-06 08:55:32,842 | train | INFO | batch: 300/391 loss: 0.012473168782889843
2023-10-06 08:58:27,304 | train | INFO | Write row 8
2023-10-06 08:58:28,119 | train | INFO | --Train 9/20
2023-10-06 08:58:30,565 | train | INFO | batch: 0/391 loss: 0.07240468263626099
2023-10-06 09:01:44,207 | train | INFO | batch: 100/391 loss: 0.013968922197818756
2023-10-06 09:04:58,257 | train | INFO | batch: 200/391 loss: 0.032456301152706146
2023-10-06 09:08:12,596 | train | INFO | batch: 300/391 loss: 0.0011453464394435287
2023-10-06 09:11:06,999 | train | INFO | Write row 9
2023-10-06 09:11:07,825 | train | INFO | --Train 10/20
2023-10-06 09:11:10,224 | train | INFO | batch: 0/391 loss: 0.029909644275903702
2023-10-06 09:14:24,278 | train | INFO | batch: 100/391 loss: 0.03438401222229004
2023-10-06 09:17:38,417 | train | INFO | batch: 200/391 loss: 0.028962483629584312
2023-10-06 09:20:52,349 | train | INFO | batch: 300/391 loss: 0.029552746564149857
2023-10-06 09:23:47,080 | train | INFO | Write row 10
2023-10-06 09:23:47,919 | train | INFO | --Train 11/20
2023-10-06 09:23:50,681 | train | INFO | batch: 0/391 loss: 0.015871958807110786
2023-10-06 09:27:04,811 | train | INFO | batch: 100/391 loss: 0.005789509043097496
2023-10-06 09:30:18,940 | train | INFO | batch: 200/391 loss: 0.002537867985665798
2023-10-06 09:33:33,144 | train | INFO | batch: 300/391 loss: 0.004850686062127352
2023-10-06 09:36:27,570 | train | INFO | Write row 11
2023-10-06 09:36:28,396 | train | INFO | --Train 12/20
2023-10-06 09:36:30,833 | train | INFO | batch: 0/391 loss: 0.02863207831978798
2023-10-06 09:39:45,079 | train | INFO | batch: 100/391 loss: 0.006676849443465471
2023-10-06 09:42:58,842 | train | INFO | batch: 200/391 loss: 0.0033282104413956404
2023-10-06 09:46:12,793 | train | INFO | batch: 300/391 loss: 0.0001988141011679545
2023-10-06 09:49:07,273 | train | INFO | Write row 12
2023-10-06 09:49:08,120 | train | INFO | --Train 13/20
2023-10-06 09:49:10,527 | train | INFO | batch: 0/391 loss: 0.0011542298598214984
2023-10-06 09:52:24,407 | train | INFO | batch: 100/391 loss: 0.013108810409903526
2023-10-06 09:55:38,589 | train | INFO | batch: 200/391 loss: 0.052012111991643906
2023-10-06 09:58:52,675 | train | INFO | batch: 300/391 loss: 0.015426108613610268
2023-10-06 10:01:47,270 | train | INFO | Write row 13
2023-10-06 10:01:48,128 | train | INFO | --Train 14/20
2023-10-06 10:01:50,529 | train | INFO | batch: 0/391 loss: 0.01642390340566635
2023-10-06 10:05:04,323 | train | INFO | batch: 100/391 loss: 0.0015870480565354228
2023-10-06 10:08:18,393 | train | INFO | batch: 200/391 loss: 0.0022894099820405245
2023-10-06 10:11:32,340 | train | INFO | batch: 300/391 loss: 0.01768249087035656
2023-10-06 10:14:26,953 | train | INFO | Write row 14
2023-10-06 10:14:28,020 | train | INFO | --Train 15/20
2023-10-06 10:14:30,490 | train | INFO | batch: 0/391 loss: 0.006455139722675085
2023-10-06 10:17:44,704 | train | INFO | batch: 100/391 loss: 0.026097532361745834
2023-10-06 10:20:58,637 | train | INFO | batch: 200/391 loss: 0.01708844117820263
2023-10-06 10:24:12,646 | train | INFO | batch: 300/391 loss: 0.004878068342804909
2023-10-06 10:27:07,145 | train | INFO | Write row 15
2023-10-06 10:27:08,528 | train | INFO | --Train 16/20
2023-10-06 10:27:11,278 | train | INFO | batch: 0/391 loss: 0.0007245548185892403
2023-10-06 10:30:25,339 | train | INFO | batch: 100/391 loss: 0.013313516043126583
2023-10-06 10:33:39,459 | train | INFO | batch: 200/391 loss: 0.0012710500741377473
2023-10-06 10:36:53,592 | train | INFO | batch: 300/391 loss: 0.0008677758742123842
2023-10-06 10:39:48,270 | train | INFO | Write row 16
2023-10-06 10:39:49,467 | train | INFO | --Train 17/20
2023-10-06 10:39:51,997 | train | INFO | batch: 0/391 loss: 0.0008933502249419689
2023-10-06 10:43:06,411 | train | INFO | batch: 100/391 loss: 0.004124871920794249
2023-10-06 10:46:20,282 | train | INFO | batch: 200/391 loss: 0.0015780559042468667
2023-10-06 10:49:34,598 | train | INFO | batch: 300/391 loss: 0.023639343678951263
2023-10-06 10:52:28,842 | train | INFO | Write row 17
2023-10-06 10:52:29,699 | train | INFO | --Train 18/20
2023-10-06 10:52:32,112 | train | INFO | batch: 0/391 loss: 0.0003920574381481856
2023-10-06 10:55:46,331 | train | INFO | batch: 100/391 loss: 0.0610317662358284
2023-10-06 10:59:00,264 | train | INFO | batch: 200/391 loss: 0.00022026622900739312
2023-10-06 11:02:14,377 | train | INFO | batch: 300/391 loss: 0.0006754472851753235
2023-10-06 11:05:08,962 | train | INFO | Write row 18
2023-10-06 11:05:10,376 | train | INFO | --Train 19/20
2023-10-06 11:05:13,049 | train | INFO | batch: 0/391 loss: 0.0027595057617872953
2023-10-06 11:08:27,320 | train | INFO | batch: 100/391 loss: 0.0018989081727340817
2023-10-06 11:11:41,352 | train | INFO | batch: 200/391 loss: 0.005074944347143173
2023-10-06 11:14:55,363 | train | INFO | batch: 300/391 loss: 0.0002496060624253005
2023-10-06 11:17:49,769 | train | INFO | Write row 19
2023-10-06 11:17:52,098 | train | INFO | Recorder, epoch 19 Model saved: /content/results/train/20231006_160438/model.pt
