2023-10-09 06:16:07,763 | train | INFO | Set Logger /content/results/train/20231009_151607
2023-10-09 06:16:07,855 | train | INFO | Load data, train:100000
2023-10-09 06:16:15,009 | train | INFO | Initiated early stopper, mode: max, best score: inf, patience: 5
2023-10-09 06:16:15,011 | train | INFO | --Train 0/20
2023-10-09 06:16:23,568 | train | INFO | batch: 0/1563 loss: 7.9901275634765625
2023-10-09 06:17:11,399 | train | INFO | batch: 100/1563 loss: 1.001556158065796
2023-10-09 06:17:59,432 | train | INFO | batch: 200/1563 loss: 1.10987389087677
2023-10-09 06:18:47,466 | train | INFO | batch: 300/1563 loss: 1.1081831455230713
2023-10-09 06:19:35,340 | train | INFO | batch: 400/1563 loss: 0.966020941734314
2023-10-09 06:20:23,340 | train | INFO | batch: 500/1563 loss: 0.5315579175949097
2023-10-09 06:21:11,393 | train | INFO | batch: 600/1563 loss: 0.7135055661201477
2023-10-09 06:21:59,344 | train | INFO | batch: 700/1563 loss: 0.8419204950332642
2023-10-09 06:22:47,292 | train | INFO | batch: 800/1563 loss: 0.4039841294288635
2023-10-09 06:23:35,271 | train | INFO | batch: 900/1563 loss: 0.40799587965011597
2023-10-09 06:24:23,298 | train | INFO | batch: 1000/1563 loss: 0.2875005900859833
2023-10-09 06:25:11,528 | train | INFO | batch: 1100/1563 loss: 0.23445409536361694
2023-10-09 06:25:59,719 | train | INFO | batch: 1200/1563 loss: 0.3112396001815796
2023-10-09 06:26:47,759 | train | INFO | batch: 1300/1563 loss: 0.29801222681999207
2023-10-09 06:27:35,801 | train | INFO | batch: 1400/1563 loss: 0.30746299028396606
2023-10-09 06:28:23,914 | train | INFO | batch: 1500/1563 loss: 0.13628758490085602
2023-10-09 06:28:53,952 | train | INFO | Write row 0
2023-10-09 06:28:55,256 | train | INFO | --Train 1/20
2023-10-09 06:28:56,018 | train | INFO | batch: 0/1563 loss: 0.1569962501525879
2023-10-09 06:29:44,069 | train | INFO | batch: 100/1563 loss: 0.08807974308729172
2023-10-09 06:30:32,238 | train | INFO | batch: 200/1563 loss: 0.19050687551498413
2023-10-09 06:31:20,465 | train | INFO | batch: 300/1563 loss: 0.11260576546192169
2023-10-09 06:32:08,927 | train | INFO | batch: 400/1563 loss: 0.20164330303668976
2023-10-09 06:32:57,236 | train | INFO | batch: 500/1563 loss: 0.14066527783870697
2023-10-09 06:33:45,363 | train | INFO | batch: 600/1563 loss: 0.028376996517181396
2023-10-09 06:34:33,729 | train | INFO | batch: 700/1563 loss: 0.12430819869041443
2023-10-09 06:35:22,063 | train | INFO | batch: 800/1563 loss: 0.0904187262058258
2023-10-09 06:36:10,339 | train | INFO | batch: 900/1563 loss: 0.08599942922592163
2023-10-09 06:36:58,607 | train | INFO | batch: 1000/1563 loss: 0.06621166318655014
2023-10-09 06:37:46,880 | train | INFO | batch: 1100/1563 loss: 0.08619997650384903
2023-10-09 06:38:35,143 | train | INFO | batch: 1200/1563 loss: 0.10167399793863297
2023-10-09 06:39:23,255 | train | INFO | batch: 1300/1563 loss: 0.12952524423599243
2023-10-09 06:40:11,567 | train | INFO | batch: 1400/1563 loss: 0.1527349203824997
2023-10-09 06:40:59,877 | train | INFO | batch: 1500/1563 loss: 0.1862497627735138
2023-10-09 06:41:29,884 | train | INFO | Write row 1
2023-10-09 06:41:31,091 | train | INFO | --Train 2/20
2023-10-09 06:41:31,980 | train | INFO | batch: 0/1563 loss: 0.1770499050617218
2023-10-09 06:42:20,185 | train | INFO | batch: 100/1563 loss: 0.030604057013988495
2023-10-09 06:43:08,396 | train | INFO | batch: 200/1563 loss: 0.02499675378203392
2023-10-09 06:43:56,650 | train | INFO | batch: 300/1563 loss: 0.06439849734306335
2023-10-09 06:44:45,003 | train | INFO | batch: 400/1563 loss: 0.06410403549671173
2023-10-09 06:45:33,228 | train | INFO | batch: 500/1563 loss: 0.22692136466503143
2023-10-09 06:46:21,510 | train | INFO | batch: 600/1563 loss: 0.04295098036527634
2023-10-09 06:47:09,776 | train | INFO | batch: 700/1563 loss: 0.07743190228939056
2023-10-09 06:47:58,140 | train | INFO | batch: 800/1563 loss: 0.06656922399997711
2023-10-09 06:48:46,331 | train | INFO | batch: 900/1563 loss: 0.04733950272202492
2023-10-09 06:49:34,674 | train | INFO | batch: 1000/1563 loss: 0.05383976921439171
2023-10-09 06:50:23,068 | train | INFO | batch: 1100/1563 loss: 0.04444045573472977
2023-10-09 06:51:11,394 | train | INFO | batch: 1200/1563 loss: 0.21609239280223846
2023-10-09 06:51:59,754 | train | INFO | batch: 1300/1563 loss: 0.005699694622308016
2023-10-09 06:52:48,058 | train | INFO | batch: 1400/1563 loss: 0.02363341487944126
2023-10-09 06:53:36,528 | train | INFO | batch: 1500/1563 loss: 0.0789080560207367
2023-10-09 06:54:06,558 | train | INFO | Write row 2
2023-10-09 06:54:07,691 | train | INFO | --Train 3/20
2023-10-09 06:54:08,552 | train | INFO | batch: 0/1563 loss: 0.0034099770709872246
2023-10-09 06:54:56,872 | train | INFO | batch: 100/1563 loss: 0.04220954328775406
2023-10-09 06:55:45,123 | train | INFO | batch: 200/1563 loss: 0.0843023955821991
2023-10-09 06:56:33,451 | train | INFO | batch: 300/1563 loss: 0.011995143257081509
2023-10-09 06:57:21,815 | train | INFO | batch: 400/1563 loss: 0.08547170460224152
2023-10-09 06:58:10,212 | train | INFO | batch: 500/1563 loss: 0.024017946794629097
2023-10-09 06:58:58,534 | train | INFO | batch: 600/1563 loss: 0.015185962431132793
2023-10-09 06:59:46,825 | train | INFO | batch: 700/1563 loss: 0.05247918888926506
2023-10-09 07:00:35,075 | train | INFO | batch: 800/1563 loss: 0.046321552246809006
2023-10-09 07:01:23,400 | train | INFO | batch: 900/1563 loss: 0.03446951508522034
2023-10-09 07:02:11,702 | train | INFO | batch: 1000/1563 loss: 0.0484667532145977
2023-10-09 07:03:00,044 | train | INFO | batch: 1100/1563 loss: 0.07637865841388702
2023-10-09 07:03:48,433 | train | INFO | batch: 1200/1563 loss: 0.053464625030756
2023-10-09 07:04:36,695 | train | INFO | batch: 1300/1563 loss: 0.011482380330562592
2023-10-09 07:05:24,997 | train | INFO | batch: 1400/1563 loss: 0.018997812643647194
2023-10-09 07:06:13,479 | train | INFO | batch: 1500/1563 loss: 0.004420323763042688
2023-10-09 07:06:43,641 | train | INFO | Write row 3
2023-10-09 07:06:44,846 | train | INFO | --Train 4/20
2023-10-09 07:06:45,728 | train | INFO | batch: 0/1563 loss: 0.07680068165063858
2023-10-09 07:07:33,968 | train | INFO | batch: 100/1563 loss: 0.09708040207624435
2023-10-09 07:08:22,356 | train | INFO | batch: 200/1563 loss: 0.0579727478325367
2023-10-09 07:09:10,653 | train | INFO | batch: 300/1563 loss: 0.03515252470970154
2023-10-09 07:09:58,995 | train | INFO | batch: 400/1563 loss: 0.02118186466395855
2023-10-09 07:10:47,237 | train | INFO | batch: 500/1563 loss: 0.019286377355456352
2023-10-09 07:11:35,633 | train | INFO | batch: 600/1563 loss: 0.032602839171886444
2023-10-09 07:12:23,896 | train | INFO | batch: 700/1563 loss: 0.0020694697741419077
2023-10-09 07:13:12,369 | train | INFO | batch: 800/1563 loss: 0.0033120797015726566
2023-10-09 07:14:00,579 | train | INFO | batch: 900/1563 loss: 0.0051030381582677364
2023-10-09 07:14:48,954 | train | INFO | batch: 1000/1563 loss: 0.04959328845143318
2023-10-09 07:15:37,393 | train | INFO | batch: 1100/1563 loss: 0.06413373351097107
2023-10-09 07:16:25,793 | train | INFO | batch: 1200/1563 loss: 0.04373591020703316
2023-10-09 07:17:14,108 | train | INFO | batch: 1300/1563 loss: 0.004077562130987644
2023-10-09 07:18:02,355 | train | INFO | batch: 1400/1563 loss: 0.010372210294008255
2023-10-09 07:18:50,728 | train | INFO | batch: 1500/1563 loss: 0.0742117315530777
